comments,topic,sentiment,type
It has been a pleasure getting to join the Panacea community The process was incredibly simple and without stress As a starting resident out of medical school there are a lot of big bills with a marginal income Panacea believes in the future potential of starting physicians and I am truly grateful I would highly recommend this company to all of my colleagues ,"medical school,big bill,marginal income",NEGATIVE,information
Working with Panacea has been an amazing experience The application process was transparent quick and very easy Panacea is a financial institution that truly knows the unique financial situation of new residents and offers amazing products to help consolidate debt at great interest rates to allow us to get back on the financial track I highly recommend Panacea ,"amazing experience,easy panacea,financial institution,financial situation,new resident,amazing product,great interest,financial track",POSITIVE,information
The majority of commercial banks do not take into account the trajectory of individuals in medicine They do not accurately assess our financial risk and charge us at interest rates that are inappropriate Panacea offers loans that definitely takes that into consideration I highly recommend Panacea to anyone in medicine ,"individual medicine,financial risk,inappropriate panacea,recommend panacea",POSITIVE,information
The process was transparent quick and seamless I was immediately assigned with a personal banker Raquel Powers from the beginning of the application She handled everything from the beginning and she was very responsive whenever I had any questions regarding the application process ,"quick seamless,personal banker",POSITIVE,information
Alex my primary Loan representative was by far the most professional and diligent interface I ve ever had with any loan institution He facilitated the timely completion of a PRN loan I needed during my transition to residency Helped tremendously with the moving and apartment hunt Can not begin to express how smooth the experience was I know I will be consulting Panacea for much larger investments down the road when it s time to establish a practice ,"diligent interface,timely completion,smooth experience,larger investment",POSITIVE,information
From my first time reaching out for information to Panacea I was greeted warmly respectfully and with a sense of urgency to help me with my banking needs Every Panacea financial professional I worked with especially Raquel was fantastic and quick to help me navigate their application process I cannot say enough good things about this bank They care deeply for the unique financial needs of medical professionals and I am beyond grateful to them for their help ,"first time,quick help,good thing,financial need,grateful help",POSITIVE,information
Excellent experience I received funding exactly business days after initially contacting Panacea regarding a physician loan The rate I received was hands down the best on the market by a long shot Alex my personal banker was phenomenol and did a great job keeping my informed every step of the way I m a graduating resident who needed the money for credit card consolidation and to hold me over until starting work as an attending physician Highly recommend this bank ,"excellent experience,best market,personal banker,great job,recommend bank",POSITIVE,appreciation
Super easy process setting up accounts and applying for student PRN loan Communication was prompt pleasant and always helpful and everything was well explained Overall I m grateful for an institution that understands and caters to my situation as a medical student trainee as opposed to other banks and lenders ,"easy process,grateful institution,medical student",POSITIVE,appreciation
The PRN Loan process was simple and fast As soon as the application was submitted a member of the team contacted me and offered great customer service and guidance with the entire process It made the experience a pleasant one ,"great customer,entire process,pleasant one",POSITIVE,appreciation
Panacea financial helped boost my credit score pay off all my credit cards and finance my move across the country for residency The Panacea Financial employees were extremely professional helpful and easy to get in touch with The whole process was extremely seamless I highly recommend them to anyone in need of some financial help as an MS and honestly anywhere in their medical training ,"financial employee,whole process,financial help,medical training",POSITIVE,information
Hands down the best financial institution there is for physicians Very accommodating easy to work with no hassle quick turnaround times for approvals exceptional bankers Parker Beller being one of them great rates no hard credit checks quick disbursements and the list goes on I have received two loans with Panacea and couldn t be happier Perfect for consolidating debt by paying down high interest cards relocation down payment for a home or unexpected expenses Highly recommend ,"financial institution,easy work,quick turnaround,exceptional banker,great rate,hard credit,quick disbursement,high interest,unexpected expense",POSITIVE,information
Raquel Powers was incredibly helpful with my loan application process She was friendly prompt with her responses and well informed enough to answer all of my questions with detail I recommended her to another one of my th year friends after having such a positive experience ,"helpful loan,prompt response,enough answer,positive experience",POSITIVE,information
Easiest and most no hassle loan approval process I have seen Application was straight forward and they did not need a zillion financial credit worthiness information like other loan companies I guess it makes sense since they use your medical education credentials for approval ,"financial credit,medical education",POSITIVE,information
Super easy process and great customer service I had the chance to work with Parker and he was absolutely amazing He would answer my emails in a timely manner and made this process so smooth Would highly recommend this loan service to everyone ,"easy process,great customer",POSITIVE,appreciation
I was very worried about how to afford the move across the country to a new state for residency I was about to use Panacea to secure a loan in less than a week from the first conversation I had with my banker to deposit of funds and feel a lot more comfortable about moving My banker Alex worked closely with me to answer all my questions and make sure my needs were being met ,"worried afford,new state,secure loan,first conversation",POSITIVE,information
Timely and straightforward I needed a personal loan to bridge from fellowship to my first job as an attending and they were easy to work with and most importantly do not reject the application based on debt to income ratio based off your fellowship income ,"personal loan,first job,easy work",POSITIVE,information
The Pancea team represents among the highest levels of professional service I have experienced Great customer support from beginning to end of the process The team are friendly well informed and go the extra mile to respond to questions at every stage I would recommend them unreservedly ,"highest level,professional service,great customer,extra mile",POSITIVE,information
I have gotten into some debt during residency I met with a financial planner to get out of debt This loan helped me pay off my credit cards and consolidate my debt Everyone was so helpful and quick to respond The customer service is incredible I had the loan in my bank account in no time and am on the way to being debt free,"financial planner,quick respond",POSITIVE,information
Excellent experience working with Panacea Their rates are competitive and their transparency is second to none Alex took the time to walk me through every step of the process and answered all my questions I would highly recommend working with them ,"excellent experience,competitive transparency,second none",POSITIVE,appreciation
Amazing service for fully licensed Amazing service for fully licensed physicians residents and medical students alike Panacea distributes your funding within hours of signing your loan documents and do not give a penny less than what you applied for ,"amazing service,amazing service,medical student",POSITIVE,appreciation
Very straight forward loan application without any hassle and competitive rate compared to my other bank I was assigned a Primary Care Banker named Parker Beller who was tremendously responsive to my questions including months after the loan was disbursed I have recommended Panacea to other physicians ,"competitive rate,primary care,responsive question",POSITIVE,information
The team at Panacea worked hard to get me approved twice They are extremely knowledgeable and helpful and I never felt like I could not get ahold of them Theyve earned a client for life great work Brandon Sandy Shannon and all the rest behind the scenes ,"great work,shannon rest",POSITIVE,appreciation
Fantastic experience all around Easy to navigate website and application process Quick friendly professional communication I had my funds approximately hours from submitting my documentation I highly recommend Panacea for lending needs ,"fantastic experience,navigate website,professional communication",POSITIVE,appreciation
Very efficient to work with Panacea They are prompt to respond to questions concerns They assign a personal banker who as always available to help as well I do not have anything negative to say about them ,"efficient work,prompt respond,personal banker,available help",POSITIVE,information
Best physician loan available in the market Would like to thank Mr Alex my primary banker who helped me throughout the whole process very professional knowledgeable and easily approachable Approved my loan in few hours Had a great experience with panacea financial Would highly recommend to my colleague residents ,"best physician,available market,primary banker,whole process,great experience",POSITIVE,information
Initially I was skeptical expecting to be declined but Panacea fulfiled their promise A true life saver for this intern My contact person Parker was diligent snd helpful all the way Thanks Panacea Financial for providing such services ,"true life,saver intern,helpful way,financial providing",POSITIVE,information
As a rising intern who is challenged with moving over k miles for residency Panacea has made the financial portion of this challenge easy They provided a prn loan which takes into account medical student debt and lack of income The process is smooth and user friendly indicating Panacea s experience and operations are solid ,"financial portion,medical student,smooth user",POSITIVE,information
I needed some extra money to close on a construction loan This was the easiest and most efficient encounter I ve ever had with a bank Parker was great in coordinating my loan always available and always helpful I would recommend Panacea to any physician or professional who needed a quick loan and great service ,"extra money,close construction,efficient encounter,great coordinating,quick loan",POSITIVE,information
I had a wonderful experience obtaining a loan from Panacea My primary care banker James Burnett answered all of my questions promptly and kept me updated on the entire loan process The concierge service is available and allows you to speak with a helpful human right away Once I was approved for the funds I received them in business day via my new Panacea checking account The whole process was stress free intuitive and fast Thank you so much Panacea for your wonderful customer service ,"wonderful experience,primary care,entire loan,new panacea,whole process,much panacea,wonderful customer",POSITIVE,information
I am a resident physician transitioning from the end of residency to becoming an attending I needed a loan to help with moving and relocation expenses and Panacea was able to help The qualification process was effortless and I got my loan approved and funds disbursed in a little over a week Raquel Powers was my main coordinator through the process and was amazing Able to answer questions and help me successfully secure my loan I recommend anybody in a similar position to look at Panacea if needing a loan for expenses ,"able help,little week,main coordinator,able answer,similar position",POSITIVE,information
Although the prn loan processing took longer than expected my primary banker James kept me updated every step of the way Excellent customer service I also ended up choosing to open a checking account with them You get a discount on the APR for your loan if you pay for it through one or their bank accounts ,"primary banker,excellent customer",POSITIVE,appreciation
My experience with Panacea was extremely smooth and helpful Unfortunately I found myself in a position where I needed funds but was constantly being denied by every financial organization I didn t think I could get a loan at all and was pretty helpless my credit score is Panacea approved my loan request and did it very fast day approval and dispersal of funds Raquel Powers was my loan officer and she kept me updated throughout the whole process She is a blessing I will be coming back to them for future loans for sure ,"financial organization,helpless credit,fast day,whole process,future loan",NEGATIVE,information
Panacea Financial is wonderful to work with Their rates are incredible and they make the whole process of using them for banking and lending services very easy If you are a medical professional and need a bank that understands your needs you can t go wrong choosing Panacea ,"wonderful work,whole process,professional need",POSITIVE,appreciation
When another lender was unable to come through on financing a dental clinic acquisition managed by our business brokerage firm we called Panacea Financial and asked if they could provide the buyer with financing and help us get the deal closed by the end of the month within a couple of weeks Brandon Stephanie and Shannon and the other members of their team at Panacea Financial worked diligently to get financing approved in record time so that we could close as scheduled Their efforts were and are very much appreciated ,"dental clinic,couple week,scheduled effort",POSITIVE,information
CBI is very impressed with the team at Panacea They worked with us and the buyer to make the deal happen We felt they were on our team and not adversarial like many lenders If you are a broker or a borrower Panacea is a great to work with to get your deal to the finish line ,"many lender,great work",POSITIVE,appreciation
My experience with Panacea has been fantastic Super easy to apply provided an awesome deal for a physician loan and the staff Alex was super helpful and attentive to needs I would highly recommend them to my friends and family ,"easy apply,awesome deal,attentive need",POSITIVE,appreciation
Everyone was extremely helpful and made the process painless I love that they understand the financial struggles that graduating medical students and new residents go through and have programs specifically for that I had a decent amount of credit card debt from all of the expenses involved with school and wanted to pay that off and have some money left over for moving expenses to my residency Panacea s loan was perfect for this and the fact that I don t have to start payments until after the first year was great ,"painless love,financial struggle,medical student,new resident,decent amount,perfect fact,first year",POSITIVE,information
I can t even begin to count the amount of banks and credit unions that denied me a loan during medical school for residency applications and moving expenses due to my medical school loan burden The only option I had were high interest credit cards that have taken over most of my spare income Panacea was extremely helpful throughout the application process and at last been able to qualify for a loan to pay off the credit cards that have been burying me I finally feel like I have breathing room and am thankful a financial institution like this exists to assist early career physicians and residents ,"medical school,medical school,high interest,spare income,financial institution,early career",POSITIVE,information
I was contacted the same day I made an inquiry My primary banker was very helpful in explaining the plan products and conditions I received loan within days of applying Everything went smoothly and loan terms are fair will definitely recommend ,primary banker,POSITIVE,appreciation
Excellent experience Fast and efficient process Always willing to help and answer to questions and concerns Great interest rates Raquel Powers was extremely helpful during all the process I recommend it to anyone who needs a Student Loan Refinancing ,"excellent experience,efficient process,great interest,helpful process",POSITIVE,appreciation
From start to finish very efficient great communication and help getting the loan quickly Panacea was supportive every step of the way Got my loan with days Great experience Thank you ,"great communication,great experience",POSITIVE,appreciation
Alex was amazing He made this process super easy for me during a very hectic transition from medical school to residency I appreciate everything he and the team at Panacea Financial did for me and would definitely use their services again ,"hectic transition,medical school",NEGATIVE,information
Mr Alex Kugler and the entire Panacea Financial team were absolutely fantastic I have truly never experienced customer service from a bank like I have with Panacea Their th year medical student loan was so fast and easy to obtain I highly recommend them for any fourth year medical student who has matched and needs extra funds for moving expenses to pay off any debt obtained during fourth year of medical school This company has the best rates for all loans refinancing of loans checking savings accounts on the market and I am so happy that I decided to bank with them Cannot recommend this company enough ,"financial team,medical student,fourth year,medical student,extra fund,fourth year,medical school,best rate",POSITIVE,information
Customer service was great very kind and accommodating The process was stress free and my banker was more than happy to answer any questions I had The application was simple to complete and the funds came quickly It s a great option for people in the medical field ,"free banker,happy answer,complete fund,great option,medical field",POSITIVE,information
Excellent experience with Panacea Financial I am a medical resident Alex was my primary care banker I can t thank him enough for helping me and guiding me during this process I got my PRN loan approved and the fund was in my checking account in less than hrs ,"excellent experience,primary care",POSITIVE,appreciation
Truly a VIP experience Panacea has a concierge phone number with actually a real person who answers your call rain or shine Beside of that number they actually assign a personal banker who knows you well It is very convenient especially for busy professionals I moved my banking from a large institution to Panacea which saves me tons of time by not being required to be at physical location able to do my transactions wherever I am without being in a long waiting line Imagine working late and able to reach someone long after the normal daytime hours to help you do your banking transactions when most banks are closed That is such a nice unique privilege ,"real person,personal banker,large institution,physical location,able transaction,long waiting,normal daytime,unique privilege",POSITIVE,information
Amazing service for fully licensed physicians residents and medical students alike Panacea distributes your funding within hours of signing your loan documents and do not give a penny less than what you applied for ,"amazing service,medical student",POSITIVE,appreciation
Alex was my primary banker and he was amazing Communication was perfect I was kept in the loop for everything and he went above and beyond to make sure I got what I needed Can t recommend Alex and Panacea enough I am thankful and grateful ,"primary banker,amazing communication,alex panacea",POSITIVE,information
Raquel Powers did an amazing job helping me find a loan that was suited to my needs walking me through each step and then helping me to create a checking account Really outstanding communication Note I never write reviews so I was genuinely impressed ,"amazing job,outstanding communication",POSITIVE,appreciation
It is great experience to speak with agents of panacea financial Very reasonable rates to pay and important thing I have to pay only interest and don t have to pay capital amount in first years I would recommend to everyone,"great experience,reasonable rate,important thing,first year",POSITIVE,information
It is really hard to navigate the time when you are transitioning from medical school to residency financially if you do not have rich parents You have too many loans to get a personal loan from a regular bank and cannot consolidate your student loans until after your medical school submits the documentation that you have graduated Panacea financial is one of the few financial institutions that understand this and does not hold it against you They were very easy to work with and I can thank them for being able to put a security deposit and first month s rent down in the area I am moving to for residency ,"navigate time,medical school,rich parent,many loan,personal loan,regular bank,medical school,financial institution,easy work,first month",POSITIVE,information
Panacea and specifically Parker were extremely helpful with helping me refinance my private student loans The customer service I received exceeded all of my prior banking experiences ,"private student,prior banking",POSITIVE,appreciation
Needed a loan for debt consolidation Raquel Powers was my primary care banker She was very helpful The application process was straightforward and only took a few days to get the loan approved funded ,"primary care,helpful application",POSITIVE,information
I m graduating from dental school in June but I needed some extra finance for living expenses until licensed I m very pleased and grateful to Panacea Financial All team members are professional efficient and friendly Definitely recommend ,"dental school,extra finance,grateful panacea,financial team",POSITIVE,information
Great experience all around Quick and easy loan application with all the essentials great correspondence by the team Thank you guys for everything following up with all emails and making the process super smooth Highly recommend ,"great experience,easy loan,great correspondence",POSITIVE,information
Excellent response time very respectful and highly committed to helping achieve what I needed With them understanding the lives of healthcare professionals and curating their business towards them I would highly recommend them as your first choice ,"excellent response,first choice",POSITIVE,appreciation
Truly a phenomenal experience Application process was easy and the entire process only took week All staff members were friendly and easy to work with Highly recommend for physicians healthcare professionals in training ,"phenomenal experience,entire process,easy work,professional training",POSITIVE,information
I researched this service extensively prior to using them to ensure they were not a scam They are a division of Primis bank and legitimate What you see on their website in regards to personal loans is what you get Simply made a an online account on their website uploaded required documents and someone emailed me within a couple hours with a banker All questions were answered through email and was invited to speak over the phone if I wanted Everything was approved over the course of a couple of days and I received funds same day as signing my contract Would recommend to my colleagues and would use again if necessary,"legitimate see,personal loan,online account,couple hour,speak phone",NEGATIVE,information
Friends staff prompt responses with frequent reminders updates organized access to staff with hr response by primary account manager professional amicable highly recommend exploring services offered by company ,"prompt response,frequent reminder,primary account",POSITIVE,information
good experience from happy costumer totally satisfy with your services,"good experience,happy costumer",POSITIVE,appreciation
I had a great experience with the team at Panacea financial Raquel was awesome She walked me through each step and patiently answered all my questions What a delight I highly recommend them ,great experience,POSITIVE,appreciation
Refinancing my loans could not have been easier A few emails and text messages and a check was sent over to get rid of my high federal interest rates I can see Panacea becoming our programs go to company for loan refinancing ,"easier email,federal interest",POSITIVE,appreciation
It s just as advertised A bank just for doctors It was a seamless process to refinance my private loans and provide me with some temporary financial relief while I complete my training,"private loan,financial relief,complete training",POSITIVE,information
I had a fantastic experience working with Panacea and my banker Rob Borcherding They worked with me every step of the way to help make my dream of purchasing my own dental practice a reality I recommend them without hesitation ,"fantastic experience,dental practice",POSITIVE,appreciation
I was able to get a medical student loan with no co signer and my primary care banker walked me through the entire process and stayed in touch with me the entire time and answered all my questions Highly recommend ,"medical student,primary care,entire process,entire time",POSITIVE,information
Wonderful experience Strict with requirements around training level status but very smooth fast and responsive Less than a week from start to finish Raquel was great to work with Highly recommend ,"wonderful experience,strict requirement,great work",POSITIVE,appreciation
Pancea was incredibly fast and easy they approved my loan and my banker was incredibly responsive If I ever need another personal loan I couldn t imaging going elsewhere ,personal loan,POSITIVE,information
Very responsive polite and informative I was aware of what was going on with my application the entire time Process of obtaining a loan and setting up autopay and the accounts was a breeze ,entire time,POSITIVE,information
Alex Kugler was a fantastic banker He went above and beyond answering all my questions promptly and in depth I appreciated him jumping on the phone with me to discuss my options and for his attention to details ,fantastic banker,POSITIVE,appreciation
Seamless and highly personalized experience with excellent customer service ,excellent customer,POSITIVE,appreciation
Everyone I interacted with was kind helpful efficient and knowledgeable I truly felt like everyone worked hard to help me figure out and secure the best option for me Highly recommend them ,"hard help,best option",POSITIVE,appreciation
Love it Very competitive interest rates on checking savings fair interest rates and grace period on PRN loan and excellent customer service Would recommend Almost worth going to medical school to get it ,"competitive interest,fair interest,excellent customer,medical school",POSITIVE,appreciation
The refinancing experience was easy and Raquel was a great help Very responsive whenever I had questions and friendly service whenever I needed it Not to mention a great interest rate for my loan ,"great help,friendly service,great interest",POSITIVE,appreciation
Alex was very helpful and guided me with each step He was thorough and provided excellent communication so there was no long periods of waiting or not knowing what to do next Highly recommend ,"excellent communication,long period",POSITIVE,appreciation
I mean what can I say easily the most incredible experience I ve ever had with a bank The personal banker situation is fantastic service is excellent everything is easy really the way things should be ,"incredible experience,personal banker,fantastic service",POSITIVE,appreciation
Hands down best bank for physicians For those that are fresh out of training and wanting to get back on track with their finances avoiding crushing interest rates this is the way to go ,"best bank,fresh training",POSITIVE,appreciation
I was searching for a place to get help for additional funds to expand my practice I always get flyers in the mail but tend to ignore them as I thought that I would never need them Then this opportunity came around which I could not pass I have funds but were tied up in other investments so I needed some quick cash After a brief search I found Panacea I also checked out other sites and narrowed my choice to I applied to both and one thing I can say with Panacea is that when comparing their rates and the ease of transactions specially with the assistance of my primary banker Parker Beller the process was quick and painless I would definitely use them again should the need arise and would also recommend them to anyone,"additional fund,quick cash,primary banker,quick painless",NEGATIVE,information
My primary banker Alex was excellent He was able to take care of my loan processing in a swift and efficient manner I am happy with this experience ,"primary banker,efficient manner,happy experience",POSITIVE,appreciation
Very impressed with Panacea Financial Professional staff and efficient underwriting team Would definitely recommend to any physician I am excited to see new products added in the near future ,"professional staff,efficient underwriting,new product",POSITIVE,information
Alex has been fantastic to work with Communicative efficient and honest The application was simple and my funds were deposited promptly I really appreciate the help guys ,"fantastic work,honest application,simple fund",POSITIVE,appreciation
My experience with Panacea was truly exceptional My primary care banker was quick with replies and just so helpful in the overall process Panacea is a blessing ,"primary care,quick reply,overall process",POSITIVE,information
Rob and the team at Panacea were wonderful to deal with Very professional and knowledgeable I would highly recommend them ,wonderful deal,POSITIVE,appreciation
I m so happy with the service provided by Panacea The whole process was very straightforward and my banker was able to explain things to me step by step before obtaining the loan ,"happy service,whole process,straightforward banker",POSITIVE,appreciation
Very kind and knowledgeable So incredibly grateful this company exists I have felt a lot of financial relief as I have more support for my life during my training ,"grateful company,financial relief",POSITIVE,appreciation
Finally a bank that understands the unique financial needs of medical students residents and attendings I applied and was quickly approved for the PRN loan to help with moving expenses and to consolidate some high interest credit card debt I was denied loans by other banks due to my subpar credit score and high student loan debt Once approved the funds were wired to my bank account the same day Absolutely amazing customer service Raquel and Zaria were fantastic They kept me updated while my application was being processed and made the whole experience a breeze I even received an email from one of the co founders Dr Palmer at AM EST when I was initially applying because there was an issue with verifying my cell phone number This is truly unparalleled customer service that I ve never experienced with other financial institutions I couldn t be more grateful ,"financial need,medical student,high interest,high student,amazing customer,whole experience,unparalleled customer,financial institution",POSITIVE,information
Parker did an incredible job and was super attentive and kind I appreciated everything he did for me What an amazing experience ,"incredible job,attentive kind,amazing experience",POSITIVE,appreciation
Excellent Service they assign you a personal banked mine was always available and straightforward about the whole process would recommend and would use again ,"excellent service,whole process",POSITIVE,appreciation
Panacea s PRN loan helped me pay off high interest credit cards and save me money The application process was quick and easy ,high interest,POSITIVE,appreciation
The team at Panacea Financial went above and beyond to help me during a difficult time in residency I felt supported in every step of the process ,difficult time,NEGATIVE,complaint
Service was amazing Raquel helped and guided me through everything The process to refinance was easy and quick I couldn t be happier with the result ,"amazing raquel,happier result",POSITIVE,appreciation
satisfactory service friendly and very helpful staff the process is also fast and problems can be resolved quickly,"satisfactory service,helpful staff,fast problem",POSITIVE,appreciation
Had to have use credit cards throughout medical school and beginning of residency This helped me get out of that debt and gave me peace of mind,medical school,POSITIVE,appreciation
Great customer service through and through This is so hard to find nowadays I d definitely recommend to colleagues in the future ,great customer,POSITIVE,appreciation
Alex Kugler and Rob Borcherding were great partners in making my hopes become a reality They are so personable and easy to work with Thank you ,"great partner,easy work",POSITIVE,appreciation
Excellent experience Was able to get the loan amount needed at a rate lower than anywhere else to help with M to Residency transition costs ,excellent experience,POSITIVE,appreciation
Everything great so far Concierge very friendly just waiting for my initial deposit to show ,initial deposit,POSITIVE,information
Truly a remarkable experience Raquel went above and beyond to ensure my application was approved in a timely manner Thank you ,"remarkable experience,timely manner",POSITIVE,information
As a th year medical student who just matched I was frantic about the costs of relocating for residency Panacea has a quick and easy application and approved me for a PRN loan when many other services denied me not understand the struggles of graduating medical students I was provided with an amazing primary care banker who reached out to me via phone call and explained each step of the loan approval process She continued to reach out each day letting me know where we were in the process and if there was anything else I needed to provide Providing my banking information was secure and funds were deposited into my account within a week of applying Taking out extra loans can be scary especially on top of the high medical school loans students may already have but working with Panacea has been worth it for the peace of mind and ability to be comfortable while transitioning to residency I am so happy with my decision and would recommend this to any medical student looking for a transition to residency loan ,"medical student,frantic cost,easy application,many service,medical student,primary care,secure fund,extra loan,medical school,worth peace,happy decision,medical student",POSITIVE,information
Fast and headache free PRN loan experience Minimum documents and paperwork Highly recommend for trainees ,"fast headache,free prn,recommend trainee",NEGATIVE,complaint
The best You can trust this company for sure Thank you so much for helping me out,best trust,POSITIVE,appreciation
Raquel was very prompt and helpful throughout the entire process I appreciated her making this very easy and straightforward ,entire process,POSITIVE,information
I will strongly recommend this company to all my peers Excellent experience Alex thank you so much for your help ,"excellent experience,much help",POSITIVE,appreciation
Great experience beginning to end I had occurred some credit card debt while in residency and wanted to consolidate the debt into one loan I got multiple pre approvals from other banks but none of the was even close when it came to interest rate Panacea offered me a loan with interest rate that was less than half of the lowest interest rate I got elsewhere with even longer term more time to payoff the loan and thus lower monthly payment and they didn t even do a hard pull on my credit it was just a soft inquiry and thus doesn t not affect your credit score Add to that that the fact that the minimum required monthly payment is about a month while in training and no penalties to pay off earlier This was a great experience all together I recommend this to any other physician in training I would also like to give a special shout out to Alex Kugler the personal banker that was assigned to my account He was very responsive and would reply to emails within minutes not matter what time I emailed him and he walked me through the whole process ,"great experience,multiple pre,lowest interest,longer term,monthly payment,soft inquiry,monthly payment,great experience,special shout,alex kugler,personal banker,whole process",POSITIVE,information
Banking service is quick and readily available Highly recommend to others that need to cover living and schooling costs ,recommend others,POSITIVE,appreciation
Easy and seamless online experience The true definition of no hassle ,"online experience,true definition",POSITIVE,information
Very responsive and quick I had a great experience refinancing my private loans with Panacea,"great experience,private loan",POSITIVE,appreciation
Great customer service speedy turnover very accommodating ,"great customer,speedy turnover",POSITIVE,appreciation
