,comments
44,They have very best build quality of case and buds then any other products. It can also charge faster then any other buds and have very long battery life and it also have very good bass and treble
45,"they  have a more neutral default sound profile, which some users may prefer, and their mic has a better recording quality. They also have a low-latency mode '"
46,This earbuds is looking nice and good quality sound bass is was very amazing easily pairs and long life battery backup i suggest to buy this nice earbuds such a osume product i have see thank you amazon.
47,"They  have  better built quality, and they offer more comprehensive controls. That said, they also have better noise isolation thanks to their adjustable ANC feature."
48,The sound is very balanced in the product.Whether it is bass or treble or tunes everything is perfectly balanced. Amazing product and a must buy. Thanks Amazon.
49,Sound quality is good and battery backup is more than enough. Over all value for money. It's a good product. You can buy this.
50,"This Truly Wireless are  better then any other Truly Wireless. They are more comfortable, and they have a longer continuous battery life. Also, their microphone has a better recording quality."
51,"This are great for commute and travel. Thanks to their lightweight and portable design, you can easily store these comfortable and well-built earbuds in your pocket or bag on the go"
52,they have the same premium build quality as their other products. They also have balanced and very punchy audio . It's worth for its price
53,"While both buds are well-built and have similarly excellent levels of noise isolation thanks to their ANC systems, they have a better battery performance then any of others buds"
54,Bass is good sound quality is superb easily paired long life battery backup design is good I like this product more
55,This earbud has huge scope of improvement for Amazon Basics - Software need better bluetooth connectivity - Design of buds - weight of the earbud - Functionality & technologyMust say Amazon/vendor did not give its 100% to this product
56,A fantastic product by Amazon and I'm very happy to have this one
57,Good sound quality battery backup is also good bass is superb easily paired I love this product
58,"Sound quality is good, long backup andlow weight."
59,It's and Bluetooth device with heavy sound quality and nice noise cancellation
60,Good product and nice quality clear bass . worth of money
61,"Sound quality recommendable within this price range. Sound quality super ,battery backup excellent and long lasting after use for many hours."
62,Great experience with this product.
63,Loved the sound quality and the comfort of use. Better than many other leading brands in the same price range
64,Worthy product for this price.
65,Comport is so good Many times usable Sound is good Battery long period
66,"It's good, no issues with the connection as well."
67,"Sound quality is supar , no cut call after use bike , very fast and easy Bluetooth connectivity, and reasonable price ..,...."
68,Superb No words
69,Sound quality excellent. Perfectly designed.
70,"Best earbuds at this price, sound quality is awesome, calling quality is also good."
71,Sound quality awesome but noise cancellation was little hard otherwise worthy product
72,Best earphone product I purchased. No tension after I purchased this. Earlier boult cheated me with low quality neckband
73,Product is really good. Awesome
74,Vocals are very clear
75,Bluetooth connectivity is very good. It didn't disconnect at long distance with the phone.
76,Bass is very Good .
77,Superb quality nice design I like this product
78,Not good one even ears are paining after some time and quality of call is very poor.... Not worth to buy
79,"Good Sound quality, Active noise cancellation,Good Battery life"
80,Overall good at reasonable price
81,Amazing
82,Wonderful products and very Good sound quality I m very happy
83,Quality is very very poor not worth to the amount
84,Product quality is very good I am very happy
85,Bad connectivityDrops call unintentionallyOnly positive thing it looks decently good
86,Great product & worth the price
87,"Packing good.., sound quality ok...But it seems like there is some design flaw and particular beats found unbearably noisy.. Don't know whether it's defective product sent for me or everyone experiencing the same..Recently my friend purchased noise vs102. While comparing this amazon basics Bluetooth earbuds with noise vs102 earbud noise vs102 is a clear winner in every aspect...(sound quality, battery backup, beats,fit)..I am going to refund Amazon basics Bluetooth earbuds it's not upto the quality they mentioned in their ads....Replacement update:I have put replacement for this one and got new one delivered yesterday.The noise i mentioned above exists with the new one also so it seems like there is a design flaw..If you have this earphone and don't know what I'm talking just play vainko song in YouTube with this earphone you can hear a noise in between beats..that beat comes in different songs and in all the different songs you will experience an unbearable noiseDon't waste your money on a prototype product..I am definitely going to refund my earphone."
88,Connectivity issue. Creating nuisance sound on high beats. Very cheap product from Amazon.
89,Sound is often breaking on call or music when battery comes below 70%.
90,It fit my ears well. Sound is clear even though I could hear what others were talking in the room. I think battery life is good too. It was worth the money i paid for it.
91,Very uncomfortable in the ear.  And. Gets disconnected easily unexpectedly
92,
93,There are some stupid noises coming from earbuds. Amazon has cheated its customers to give a good earbuds and I believed in their products and finally concluded that Amazon is a big cheater.I  suggest you that this earbuds are suitable for use.I give a final advice is that don't buy this products in online like Amazon platform instead try buying outside at a popular places where earbuds are good and even u can try physically there.
94,Audio quality on call is so bad and connectivity is also not goodI have requested for replacement and not replacement done in app it's showing deleverd what happened with Amazon
95,Misc play wath not working
96,Good
97,"Only one side getting connected. Tried so many times. Don't know why but even it is full charged and there is no service seems to be available nearbyAlso, sensor of left earbud is continuous onLight of box is not getting off"
98,It doesn't work during high beat music and suddenly there is no sound at certain times
99,i like the product. Amazon TWS is a perfect tws in the market in this price. it's bass is clear & sound quality is good. Amazing battery backup
100,Value for money product
101,Overall disappointed
102,Weast of money please take boat or any brand
103,"The media could not be loaded.
                



 First of all I would say the earbuds dnt work as expected,Stuttering sound if I watch a series or movie.Call disconnects automatically while talking .And as its own wish it disconnects and connects Bluetooth.Above are the problems faced ,But I tried connecting the retailer  they said contact Amazon,Amazon doesn't have options to raise issue and send it back .Feel cheated by amazon ,Looks like a faulty earbuds given to me and no one to assist."
104,Review after 1 month usage.1. Sound during calling is very low.2. It restart app during connecting and disconnecting...very bad3. Connectivity takes time
105,"The media could not be loaded.
                



 SOUND QUALITY IS VERY LOW AND DON'T PICK UP PHONE WHILE TURN ON BLOOTOOTH"
106,In general the quality of Amazon Basics products is good but these earbuds are a worst product from Amazon Basics. I received faulty earbuds. Quality checks are required at packing facility. Have returned twice.
107,No.01
108,Bhai m jada kuch bhi nahi kahunga bas yahi kahunga ki 1 no hai iski sound quality or bass quality.
109,"DON'T THINK TWICE , YOU SHOULD OWN THIS . I AM SURPRISED ABOUT THE SOUND QUALITY . AWESOME"
110,Fully satisfiedVery happy with it's sound experience
111,Noise should improve more
112,Good very..... Amazon
113,It has a good battery back up and very nice sound
114,Really amazing TWS loved it. Best buy under 1k
115,Very good material and good item
116,Very light weight and comfortable
117,Superb bass and Sound quality
118,Product is good..but couldn't fit into my ears..falls down frequently
119,It's connect with phone quickly and sound quality is also good over all a good but with this price and noise cancellation is the good and battery 🔋 life 👌ok
120,Too good
121,"Awesome product, impressed with the sound quality."
122,"Value for the money. Sounds is clear and bass is great,  also very light weight"
123,"""Pros Great Sound Good Battery Great Price Cons mic is not that best but ok with this price range"""
124,Earbud quantity is very bad when ware in ear no wareing in ear automatically down and fall down i m also request for return but amezon direct refused complaint and not take back this worst product
125,Sound quality is good
126,Best product you can buy in this range . Sound quality is good
127,Late connection
128,Happy to purchase it. In this price segment it's really good
129,This is definitely one of the best sounding TWS at this price point. I am amazed by the sound quality.
130,Tried other TWS under 1000 but this one is way better than them. Must try
131,"great product at this affordable price, quality of the product is grt"
132,I like this product. Very good sound quality and very good product for all mention in description.
133,Amazon basics Bluetooth bhot karb product hai or Amazon ki policy hai ye product pe 7 day me replacement but mene Amazon basics buy kiya or usme right side ka earbuds kam nahi karta or touch controls be ekdam kharb hai bhai ye product buy mat karo
134,Looks premium and call quality is also good and top notch sound quality in this price range
135,Good sound quality and battery life
136,Working as expected for now. Will let you know the durability after 3-4 months.
137,I really like the product. Fits in ear perfectly. Sound is also fine
138,Low price best headphones
139,Sound Quality is extremely good.
140,. Only amazon can give high quality products in this price range. This TWS is extremely good. Anyone can have TWS now.
141,"Over all good package in this price, battery backup and sound quality was good."
142,I have redmi and noise tws but these ones are the best among all.
143,Hariom KumarAmazing products nd service by Amazon. Must Buy it's better then my previous buds.
144,Sound like premium one and best qualityOther any product
145,Excellent product good earbuds design and looking very good easily fitting in ears
146,Worth the price... although i have bought it in 699
147,Everyting is great..great product in this price range
148,"Don’t buy these earphones, using them has caused problems in my ears. It always has a crackling and static noise coming from it along with the sound. They’re not at all noise cancelling and are made of very low quality."
149,"Disription- Delivery boy and time is very good. Also, the product is so nice."
150,Product is exactly what it shows with good quality.
151,Amazon basics have raised their bar on quality and finishing.Sound and connectivity is awesome .Battery back up to be checked .Looks promising .
152,Worth with this price
153,Connectivity is very poor also not an a month it's damnged
154,Compact and light weight great connectivity and range
155,Good earpods.Sound quality goodBudget friendly- I took it in saleColour very good.Even the replacement process from Amazon is very smooth. Thanks Amazon!
156,Best and rich in all aspects
157,Sound quality is super. Balanced sound not too much bass.
158,I totally like the product
159,Product build and sound quality are good
160,Nicely working.. good quality..and light weight
161,Sound clarity is awesome. Worth of money
162,Just amazing productComplete value of money
163,A must buy products for music lovers
164,Bass sound and quality everything was good
165,"Good sound quality, battery life is also ok"
166,This TWS sounds good and decent
167,Excellent sound quality with a comfortable fit
168,Great quality product at great price and very good punchy bass
169,Highly recommendedThe price is taken it's worth it
170,Vocals are good for the price with balance bass and treble
171,The quality of music is too clear with every detail
172,✅ Amazing Sound Quality✅ Great Battery Backup✅ Best Value for money  under Rs. 1000✅ Build quality is perfect
173,sound is clear with good battery backup
174,All rounder best ear buds under 800
175,"Nice earpods at that price.Great audio experience with immersive sound."""
176,"Sound quality is Good  Bass quality is Good"""
177,One of the best value for money product
178,Best deal on amazone perfect trebles with bass
179,Better than any other brand in this price range.
180,Touch sensitive buttons on earbuds are very sensitive.
181,Vocals are pretty good and clear
182,Superb sound quality and battery backup
183,"The sound quality is good , convenient and affordable price to buy it."
184,Nice sound quality. Clean design.
185,One line - best in this range
186,Fabulous purchase.
187,Sound quality is amazing. Perfectly fits in ear size is good. Overall value for money
188,Awesome bass and battery backup
189,Amazing buds with great sound
190,Using it during my workout. No problem faced till now. Doesn`t fall
191,Amazing product u can buy instead of ptron and noise
192,"Mind-blowing earbuds, decent bass with clear vocals"
193,It is amazing product with no problem. Also pairs very fast
194,Good sound with nice ear fitting
195,Sound quality is Fantastic 👌
196,I love the base and quality. Thanks for the quick delivery.
197,Such an excellent sound earbuds.
198,best earbuds at very affordable price
199,Amazon basics products are best everytime. Good performance
200,Best in battery. Sound is best.money is good.
201,Sound quality is amazing.
202,Very Good Product
203,Product is soo good. I loved it
204,Fabulous products....worth it
205,Very good connectivity and good sound experience
206,"Awesome. Buds are lightweight, very comfortable to use."
207,One bud sounds low i replace 1 time but it same first one right bud sounds low and second time left bud sounds low
208,satisfied with sound quality
209,Amazing sound and good build quality! Best purchase for the price.
210,Battery life and sound quality is very good
211,"The media could not be loaded.
                



 No"
212,Worth buying this.
213,"The media could not be loaded.
                



 Products nice all'future nice"
214,Extremely comfort earbuds. It doesn't fall off.
215,Build quality is excellent as well as noise cancellation.
216,Amazon blutooth ka dekha ta par anda koye marka ka nhi rehta hain blutooth nhi Lena bhai Amazon ab baikar product delivery karwota hain plz Amazon mat us karo use achha Flipkart hai
217,This product is a piece of trash….. buy at ur own discretion….. Connectivity issues & gets disconnected as n when the device feels like….. Amazon basics products are a result of poor R&D.😡🤬
218,The media could not be loaded.
219,"I tried to play music in these earbuds, music is not continuous. It breaks in between like short gaps and eventually you will get irritated. Latency is too high.There is no return/no support for this item even."
220,The media could not be loaded.
221,awesome earbuds
222,Good product
223,"Worst product, having connection issues, very less battery backup, sound is also flat, please don't buy this"
224,"Product quantity is not good, after 15 days left earbuds not work properly"
225,"don't get fooled by the price and get this.This is way too bad. It is made with scrap plasticand sounds way too sharp like it might literally tear your ear.There is no replacement too, there was only return ! toooo bad"
226,"The worst quality ear buds i've ever bought...disfunctional from the very first day, the sound quality is bad and the material and build quality is the cheapest"
227,Voice fat rhi h
228,Doesn't fit properly in the earSound also not goodConnecting issueWorst productThis is worth of rupees 150 only not 800Cheap quality
229,Sound not good
230,Service is very Very bad 👎
231,"The media could not be loaded.
                



 Very poor sound quality, I want to change my earbuds but there is no option show for return or claim warranty very pathetic products quality"
232,Auto disconnect and sound is not good. Size is bulty. Pain ears
233,Within 10 days of use one bud stop working.... No warranty / support from Amazon for this product.
234,At first sound quality is too much disturb. From 10 meter distance it isn't working .The product can't return so they replace today but this also is same.
235,The product is not working and it is very low quality product
236,4th class item
237,Yah product bahut bekar hai Isko Nahin kharide
238,Not good
239,Left side ear bud not connected
240,
241,
242,All are defective
243,"Connection problem after,20days"
244,Connectivity problem
245,Bekar cheez.
246,Only one earbud was working
247,The product don't connect automatically. It says failed to connect and one of the ear but stopped working
248,"The earbuds stopped working within 1 week of purchase, very bad experience. How can i replace it ?"
249,Waste of time & Money......
250,Defective quality charging  not working properly.
251,Kharab ho gaya
252,This is wast your money
253,Connectivity is not good.
254,Worst one ever
255,Very bad
256,No well sound  breaks every time poot connectivity old used item. Sent to me
257,Bass fata rah ha
258,Waste product
259,West of money no good so far
260,Sound quality very bad
261,Ear buds not working well
262,Sound quality is very bad🤢🤮🤮
263,Bad quality
264,Worst to the core
265,Amazon name also they can’t print proper printing
266,"Battery life only 1hr, Bad battery quality"
267,"The media could not be loaded.
                



 CentralProduct"
268,"Main ishko 1 week se use kar raha hun .accha hain sound avarage hain , calling main bhi issues Nehi hain connectivity accha hain disappointment ka kuch issues Nehi hain .Ek problem mujhe laga ishka led indicator bohot time Tak jalga rehata hain 😏😏Or bohot bright hain yaarItna time Tak jalne ka kya fayda hain ,Baki sab sehi hain 🙂Review video available hain YouTube PE RelyOn channel ka nam hain checkout kar sakte hain"
269,Quality is sub par
270,Good tws product  which is a value  for money product from Amazon at a great price point for these specs
271,"The media could not be loaded.
                



 Very much quality and help Full sound quality is best tuch control water proof so very much quality and help"
272,"Frequently skips audio playback, as it fails to maintain a steady connection, despite the PC or mobile being within arms reach. Audio quality is average. I tried returning the product upon delivery, but they said they can only do a replacement.I wanted to leave a feedback immediately to warn others, but the app didn't let me. The customer care executive gave me a generic email to forward the complaint, I didn't follow up. There were no reviews for this at that time, possibly for this reason. They simply wanted people to trust Amazon and buy it and make a lot of money during Prime Days.More than anything else, I hated not being able to post a feedback. I feel that they abused their position as gatekeepers."
273,I really had lots of hopes in this product. When it arrived it was working great worth the price. But later I discovered it has really small grip and doesn't fit well with any size of ear buds. There is no refund for the product only exchange. At least they could have exchanged a product with some other model. Never going to buy a Amazon basic product. You can compare the ₹150 ear phones grip with this ₹699 product.
274,Not Good enough 😕 😞 😪 sound may be not clearly quality is not maintained in this product 🤔 .
275,"Sound Quality is good, and Buds do not fall off from Ears. Play time of earbuds are very good"
276,Tried boat earlier. But this one is better than that. Amazon never disappoint us
277,Noise cancellation works great but not in too noisy environment. Overall super cool deal.
278,Sound quality is very good
279,Clear sound quality with loudness.
280,Quality and battery life of the product is good.
281,Sound quality of this earbuds is really good and I appreciate the it .I am satisfied with this product as it has good power back-up also
282,"Excellent, Awesome product, happy to buy it…"
283,Nice product sound quality is excellent and blue tooth connectivity very easy
284,"Decent product, simply you can go for it"
285,Sound clarity is superb. You can hear low to high vocals clearly
286,"Really useful for music lovers. Quality is superb, no one can tell you that you have purchased it for 900."
287,Very very nice sound
