comments,topic,sentiment,type
Dealing with the personnel at the Jasper location for business with my new job has been so exceptional that I decided to open a personal account there I recently moved from the Dallas Fort Worth area and had a bad experience with Wells Fargo and fraud on my account I look forward to doing business with a financial institution who truly care about their customers Thank you ,"new job,personal account,worth area,bad experience,financial institution",NEGATIVE,information
Loan was a VERY smooth process The dealership even commented how smooth the process was Interest rates were best available Great communication between all dealership myself and DuGood Ready to bring all finances to DuGood ,"smooth process,great communication",POSITIVE,appreciation
Flexibility to help a customer bring in new money Kim D and Beth L were very customer service friendly ,new money,POSITIVE,information
When applying for a loan online the process was fast and simple I call to ask about it and someone was able to give me information and help me understand the approval odds They got back to me within a couple of hours and the money was in my account ,"online process,simple call",POSITIVE,information
Great customer service they were polite and friendly Some one helped me right away,"great customer,friendly one",POSITIVE,appreciation
I have been in need of a small auxiliary air conditioning unit for my bedroom I decided to apply for the funds thru DoGood s banking app Service was quite prompt as well as easy to use the whole process took less than hours and received the funds in my account shortly after lunch the same day I am most pleased with the all the services I recieved ,"auxiliary air,easy use,whole process,pleased service",POSITIVE,information
The Loan process was so easy from being to end And not having to go into the Branch too finalize the paperwork was great ,easy end,POSITIVE,appreciation
I walked to the office to the smiling face of Carrie She took me into her office and opened my account She is very personable and so nice to work with ,nice work,POSITIVE,appreciation
I went in to the Lumberton Branch to apply for a loan a first for me Darlene Ford is the lady that helped me She made the whole process so easy for me and I left feeling on top of the world Thank you Dugood for hiring such wonderful employees ,"whole process,top world,wonderful employee",POSITIVE,information
Darlene has been great to work with She went above and beyond to help me set up a savings account and a CD I am thrilled with my experience at DuGood and am already referring others to Darlene ,"great work,thrilled experience",POSITIVE,appreciation
I just completed my second loan with DuGood working with Kristin Daniels Again she handled it with efficiency and completed it in a very timely manner Kristin always makes the process as easy and convenient for you as possible I highly recommend DuGood and Kristin ,second loan,NEGATIVE,information
Needed a new vehicle loan Got the pre approval ordered the vehicle and when the dealership called DuGood was there to get everything completed flawlessly Thank you Carrie Jo and Brenda I m a customer for life ,new vehicle,POSITIVE,appreciation
I m truly happy to be a member of DuGood Credit Union They have help me in most difficult times when I need it I will never go to any other credit union or bank I m very grateful to be a member there at each branch everyone has been so courteous All stars to them,"happy member,difficult time,grateful member,courteous star",POSITIVE,appreciation
I have been a member with DuGood for about years anytime I have had an issue they were fast to help and anytime I have needed a lone the prosses was painless ,"dugood year,fast help,pro painless",POSITIVE,appreciation
Dugood is always wonderful to work with I had a great experience with Kristin in the Orange Texas office this week She was kind helpful and very knowledgeable I live hours away from the closest Dugood Federal Credit Union but I ll never bank anywhere else ,"wonderful work,great experience,live hour",POSITIVE,appreciation
I believe that Kristen Daniels in loans is one of the best that I have done business with in years Makes me want to do all my business with DuGood and quit shopping around She even caught the VIN incorrectly recorded by the seller Thanks,want business,POSITIVE,appreciation
I ve been a DuGood FCU member for many years Torey has been one of the most exceptional loan officer in my history of banking with the credit union Always responsive prompt knowledgeable and highly efficient Thank you again Torey Much appreciated ,"many year,exceptional loan,efficient thank",POSITIVE,appreciation
My experience was great Wasn t approved for I wanted I did total underistand I did get a loan and was happy with it The staff is always helpful and nice Been doing business with them a long time Will for many years to come ,"happy staff,nice business,long time,many year",POSITIVE,appreciation
Always greeted when I walk in I visit probably once a week Well known Recently got a personal loan Very informative and knowledgeable about the product Very patient and made sure I understood everything regarding the loan ,"personal loan,knowledgeable product",POSITIVE,information
I applied for a small loan to do some home renovations I was contacted promptly and signed the papers for the loan the same day Been with DuGood for many years they have always taken care of me and my needs ,"small loan,many year",NEGATIVE,information
I was very pleased with the service that Tammy gave me and has always giving me with any and all questions and transactions that we have done over the years And I look forward to dealing with her again in the future thank you very much Frank Estes,"pleased service,frank estes",POSITIVE,appreciation
Sandra and Pauline made the mortgage process a breeze They answered every question and put my mind at ease through the whole process I would definitely choose to go through it again with them ,whole process,POSITIVE,information
very reliable communication good customer service,"reliable communication,good customer",POSITIVE,information
Quick service and a big help Responded to my inquires quickly with candor and professionalism Wait time on call queue is a bit long when dialing the main line but direct lines to employees if you know their ext is always fast ,"quick service,big help,main line,direct line",POSITIVE,information
Thank you for always being kind and friendly I applied for a loan and within the same day I had an answer You do not know how much this means to me Thank you so much for everything ,applied loan,POSITIVE,information
I was in need to open a bank account and every other bank had told me no but as soon as I came into DuGood i was helped and was able to walk away with a bank account ,open bank,POSITIVE,information
Very prompt courteous professional staff Always willing to try help their customers ,professional staff,POSITIVE,appreciation
I showed up late in the day to start a new account The lady was very helpful and respectful and walked me through everything to understand how it all works and made the process simple,"late day,new account",POSITIVE,information
I have never had a bad experience at DuGood FCU This was no exception Not enough words to describe how special they make their customers feel And the benefits of being a member are at the top ,"bad experience,enough word,special make",NEGATIVE,complaint
It was an overall a pleasant experience from the time I walked in the doors The lady who handled my application was very nice and answered all questions and helped me set up my account quickly ,"pleasant experience,answered question",POSITIVE,appreciation
Well I am new to getting a bank account and getting a devit credit and when I went there everyone was super friendly and nice and I got my debit card and account good to go easy and simple,easy simple,POSITIVE,appreciation
Always the most helpful employees in the industry Thank you ,helpful employee,POSITIVE,appreciation
My experience setting up a account was so easy going The representative that called me was so nice and did a wonderful job I am looking forward to being a trustworthy customer with the company ,"wonderful job,trustworthy customer",POSITIVE,appreciation
I was very happy with the ease at which I got my loan Cara was very helpful and she was very nice I am very happy I switched to DuGood for my banking needs ,"happy ease,dugood banking",POSITIVE,appreciation
Super friendly and professional service I m looking forward to many years as an account holder with DuGood ,"professional service,many year",POSITIVE,information
AWESOME PEOPLE TO DO BUSINESS WITH TOOK NO TIME TO GET MY LOAN DONE THEY HAVE ALWAYS TREATED MYSELF AND MY FAMILY GREAT THANK YOU ERIN FROM THE ORANGE BRANCH OUTSTANDING WORK ,"awesome people,great thank,outstanding work",POSITIVE,appreciation
Jessica Pitts at Dugood in Nederland was wonderful to work with She processed my loan in a timely manner and answered all my questions All in all a great experience ,"wonderful work,great experience",POSITIVE,appreciation
Marissa was amazing She explained everything was very responsive and patient while we were a bit indecisive We appreciate her making our experience wonderful ,patient bit,POSITIVE,appreciation
The communication and everything was done in a timely manner That all was important Thank you,important thank,POSITIVE,appreciation
Mindy at the Mont Belvieu branch took excellent care of us Service was quick and accurate We look forward to doing more business with DuGood in the future ,"excellent care,accurate look,dugood future",POSITIVE,information
Thanks Sara Newton for making our vehicle purchase smooth and simple Dugood exceptional service doing our Community good Steve Sharon Square,exceptional service,POSITIVE,information
Thank y all for all your hard work I appreciate you ,hard work,POSITIVE,complaint
Wonderful customer service she answered all my questions and made my experience at bank welcoming ,wonderful customer,POSITIVE,appreciation
Opening a new account was fast and easy Friendly staff and convenient location too ,"new account,friendly staff,convenient location",POSITIVE,information
Such an awesome experience The willingness to work with me and help me out meant a lot ,awesome experience,POSITIVE,appreciation
I am really pleased I brought my daughter she s already a member with me so she will have access to my finicial affairs when necessary ,finicial affair,NEGATIVE,information
It was Great Crystal Is A Great Assest For the Company,assest company,NEGATIVE,information
The loan process was fast painless and comfortable The communication was high touch and I felt very clear through each step ,"comfortable communication,high touch,clear step",POSITIVE,appreciation
Service was great and the representative was quick to help get my information loaded into the system making this an easy transaction ,"quick help,easy transaction",POSITIVE,appreciation
Customer service is real great and friendly I will never change federal credit union I am very happy with the service ,"federal credit,happy service",POSITIVE,appreciation
my experience with du good federal credit union was great They helped me open up a no fee checking account and savings ,federal credit,POSITIVE,appreciation
Quick response for loan application and very polite and excellent service,"quick response,excellent service",POSITIVE,appreciation
The Lumberton branch is the friendliest bank ever They are the most expert advice I ve ever experienced with any bank ,expert advice,POSITIVE,information
Stephanie was really nice and professional Real people s person Made for an excellent experience ,"real people,excellent experience",POSITIVE,appreciation
Very friendly helpful service I am new to the United States and the process was very easy Thank you ,"helpful service,easy thank",POSITIVE,appreciation
Loan officer was very helpful and responded to questions in a timely manner ,timely manner,POSITIVE,information
The help frome manager and and all of them wass first class service thank you to make are life mutch esier ,first class,POSITIVE,appreciation
The lady that helped us answered all the questions we had and was very helpful and informative ,helpful informative,POSITIVE,information
Staff was friendly and helpful Much better service than the other banks around here ,better service,POSITIVE,appreciation
Setting up my new accounts was quick and easy Much better than dealing with big banks ,"new account,big bank",POSITIVE,information
Karen was super helpful at the vidor branch,helpful vidor,POSITIVE,appreciation
The lady who interviewed me was very sweet and friendly Her name is Audrey Thank you Audrey,friendly name,POSITIVE,appreciation
 got the best customer service from one of the member services personal ,best customer,POSITIVE,information
The employees are the best Very respectful and work hard to meet your needs ,respectful work,POSITIVE,appreciation
I received excellent customer service from Ms Genise Griffin She was attentive and kind ,excellent customer,POSITIVE,appreciation
Great experience so far Me and my fianc are excited to be apart of DuGood Credit Union ,great experience,POSITIVE,appreciation
great experience,great experience,POSITIVE,appreciation
Excellent experience Very helpful staff and very eager to hep in any way possible ,"excellent experience,helpful staff",POSITIVE,appreciation
Great customer service Very nice people the wait was not long ,"great customer,nice people",POSITIVE,appreciation
I opened a new account and it was a quick and easy process Everyone was so kind helpful ,"new account,easy process",POSITIVE,information
Super friendly Great service ,great service,POSITIVE,information
Rhonda Hamilton is awesome She is always more than helpful and is a pleasure to deal with,helpful pleasure,POSITIVE,appreciation
Tara is exceptional She is attentive and has a great attention to detail ,great attention,POSITIVE,appreciation
Miss Harlee Brown was very nice and helpful and do very much appreciate it ,much appreciate,POSITIVE,appreciation
Wonderful helpful team of people Made the stress of buying a vehicle go away ,helpful team,POSITIVE,information
Fabulous experience very personal and i loved everyone at the bank ,fabulous experience,POSITIVE,appreciation
Amazing customer service Karen from the vidor dugood was amazing help ,"amazing customer,amazing help",POSITIVE,appreciation
Look future to the future of doing business together,future business,POSITIVE,appreciation
This was good result for me and a positive one Thank you very much ,good result,POSITIVE,appreciation
Had a little trouble getting a loan for a dozer appreciate the help ,little trouble,POSITIVE,information
Closed a loan for a new RV Friendly staff and easy process ,"closed loan,friendly staff,easy process",POSITIVE,appreciation
Amazing service and very nice,amazing service,POSITIVE,information
Experience great Member service,great member,POSITIVE,appreciation
Fast friendly service and answered our questions we had,friendly service,POSITIVE,information
Stephanie did so good with me It was a very easy process,easy process,POSITIVE,appreciation
Extremely Professional and Personal Service Much Appreciated ,personal service,POSITIVE,information
Sara Harlee were great Love Dugood ,great love,POSITIVE,appreciation
DuGood is the best banking experience I ve ever had ,best banking,POSITIVE,appreciation
Very helpful Very easy Effortless on my part ,easy effortless,POSITIVE,appreciation
all went well professional and friendly employee ,friendly employee,POSITIVE,appreciation
Great customer service and quick loan closing,"great customer,quick loan",POSITIVE,appreciation
Very courteous and helpful staff,helpful staff,POSITIVE,information
Always the best experience ,best experience,POSITIVE,appreciation
Quick excellent service ,excellent service,POSITIVE,information
Torey Johnson was so helpful and so easy to work with made the loan experience easy and no stress When she was out anyone in the loan department that was available would step in and help me without me having to wait on her if she was busy THAT is true customer experience and I m very happy with everyone there at DuGood ,"easy work,true customer",POSITIVE,appreciation
Needed a cash out refi on my mortgage and basically handled everything online Was a great experience Susan was very helpful and answered all my questions in a timely and efficient manner Would definitely use again if the need arises ,"great experience,efficient manner",POSITIVE,appreciation
i just turned a couple of days ago and i went to Dugood to get my own bank account and i walked in and i was lost i didnt know what to do and i was so nervous but this nice lady helped me and we got my bank account set up only to find out as im leaving the bank i was so nervous to go be a big girl and get my own account i locked my keys in my car who does that i was on day of being but thank you to the extremely nice bank teller that helped me i got my keys out of my car ,"nice lady,big girl,key car,nice bank,key car",POSITIVE,information
It was so easy to navigate the whole experience It was also extremely fast to sign up and finish ,"whole experience,fast sign",POSITIVE,information
DuGood has always been amazing I was assisted quickly by a very competent person who was easy to deal with ,"competent person,easy deal",POSITIVE,appreciation
I was treated great and all of my questions were answered and I was able to open an account,"great question,open account",POSITIVE,information
I just opened an account with DuGood The young lady helping me was efficient and pleasant to deal with She answered any questions I had and was very knowledgeable ,"young lady,pleasant deal",POSITIVE,appreciation
Great customer service and detailed explanations for my questions throughout the loan process ,great customer,POSITIVE,appreciation
The person I dealt with was nice and courteous The problem I have is with the signing into my account I get errors about my Id password recognizing my device that I m accessing my account I have to do too much of maintenance to keep me able to login I put the right I d in and it says it does not recognize it I retype the exact same thing and it goes through ,"courteous problem,much maintenance,able login,exact thing",NEGATIVE,information
Just moved here and went in to open a new account and the customer service was amazing I believe her name was Alissa and I give her a definite star rating,"new account,definite star",POSITIVE,information
The loan officer was extremely helpful and explained everything With me already having loans I didn t think it would happen But she made it happen in no time Sent the app during AM hours and was approved before closing They always do an amazing job ,amazing job,POSITIVE,appreciation
Was good service the that did everything was very professional and knew that she loved her jobs thanks to her ,good service,POSITIVE,information
Sandy Ferrell Her Team are All very Sweet Professional Honest People They kept me informed always Helped us with all documentation We was always comfortable when talking to them Dependable accurate Enjoyed the experience Thank You,"ferrell team,honest people",POSITIVE,information
Friendly loan officer guided me through the process and was very quick ,friendly loan,POSITIVE,appreciation
Ashley Dewitt was SO HELPFUL and made this the most easy process ever ,easy process,POSITIVE,appreciation
Torey was amazing and very knowledgeable She was kind and professional throughout the entire process of the loan It was extremely effortless and completed in no time I would definitely recommend anyone getting a loan through DuGood ,entire process,POSITIVE,information
I been with this bank for years The staff are very kind and friendly However the only thing that gets me is the NSF fees I understand the courtesy pay but charging someone NSF off of cents yes I said cents is ridiculous I don t understand why banks charges NFS fees ,ridiculous understand,NEGATIVE,complaint
Awesome staff and easy to work with,"awesome staff,easy work",POSITIVE,appreciation
The staff are extremely friendly and welcoming,friendly welcoming,POSITIVE,appreciation
Dugood Credit Union was thoughtful to give me a chance to prove myself The staff was very nice considerate and awesome Thanks for everything ,"thoughtful give,nice considerate,awesome thanks",POSITIVE,appreciation
Mrs Karen made my experience at getting my loan seem so simple and easy Everything went quick and smoothly and I absolutely love how she broke everything down for me and explained it in a way I would understand She was super polite and helped calm my nerves from when I first arrived because getting a loan is a big deal to me She overall made my experience very pleasant and I am so happy she was able to help me get what I needed ,"calm nerve,big deal,able help",POSITIVE,appreciation
Great experience Fast service ,"great experience,fast service",POSITIVE,appreciation
I was able to open and confirm my account via the phone This made it quick and easy I spoke with Audrey at DuGood and she was extremely helpful I am looking forward to utilizing my account with DuGood ,open confirm,POSITIVE,appreciation
Great service keep up the good work,"great service,good work",POSITIVE,appreciation
Jennifer made the refinance of vehicle quick Really pleased with her service and the whole staff at Jasper branch,"pleased service,whole staff",POSITIVE,appreciation
Kayla Hernandez was helpful and kind and she help me open new account fast ,"helpful kind,new account",POSITIVE,information
Awesome loan experience Quick and painless ,"awesome loan,quick painless",POSITIVE,appreciation
Awesome loan experience Quick and easy ,awesome loan,POSITIVE,appreciation
Went in to see about a checking and savings account I was able to get both with ease and excellent customer service and hospitality,excellent customer,POSITIVE,appreciation
Great people to work with Got everything I wanted at better rate than the bank with better customer service,"great people,better rate,better customer",POSITIVE,appreciation
I was acknowledged immediately when I walked into the credit union Everyone was very friendly Erin helped me with a loan and was accommodating I would recommend Dugood to anyone ,friendly erin,POSITIVE,appreciation
Amazing employees they get the job done quick Always have been helpful with everything we ve done ,amazing employee,POSITIVE,appreciation
New member to DuGood The loan officer was very professional and very helpful Very satisfied with the service I received Closing was very easy at a local branch The employees at the branch was also very helpful and exhibited professionalism ,"satisfied service,local branch",POSITIVE,appreciation
I needed a loan to replace a sorry job a home improvement man did on my roof it leaked horribly after he replaced it Mrs Hamilton really helped me out She was so sweet and understanding ty du good ,sorry job,NEGATIVE,complaint
I m happy and satisfied with DuGood bank they took care of all my needs they are really helpful and dependable when needed ,dugood bank,POSITIVE,appreciation
Such an awesome experience Very quick response and got an answer in a timely manner,"awesome experience,quick response,timely manner",POSITIVE,appreciation
Amazingly fast response Thank you,fast response,POSITIVE,appreciation
A great experience with no hassle thank yall for the outstanding service ,"great experience,outstanding service",POSITIVE,appreciation
Couldn t have asked for a better or more efficient customer service experience The young lady who opened my savings account for me is a gem Also Tara in auto loans is a BOSS She s a huge asset to DuGood ,"efficient customer,young lady,tara auto,huge asset",POSITIVE,appreciation
Each time I have called or went to a locations Customer service has always been above and beyond Always helpful Thank you,helpful thank,POSITIVE,appreciation
I was pleasantly surprised at the efficiency of the service I received I am new to Texas and was able to get in and out after setting up accounts in a short period of time The bank representative that assisted me was professional and personable and kept me informed on her actions during the visit I am looking forward to doing business with DuGood Credit Union ,"short period,professional personable,informed action",POSITIVE,information
Great service phone call and that was it They kept me informed about the process all the way up to signing papers Thank you for making it easy ,"great service,informed process",POSITIVE,information
The staff was helpful and friendly The time it took was quite acceptable Thank you ,"friendly time,acceptable thank",POSITIVE,appreciation
Everything went great smooth transition very nice and easy communication great customer service,"smooth transition,easy communication,great customer",POSITIVE,appreciation
The staff were very courteous lookn fwd to banking here,fwd banking,NEGATIVE,information
Opened a new account and everything went very smoothly Several days later my husband and I went in to have him added to the account making it a joint account and everything went smoothly The customer service we have experience thus far has been top notch ,"new account,several day,joint account,top notch",POSITIVE,information
Kristen was super helpful in getting me my auto loan and was great at following up with me throughout the entire process Thanks again ,entire process,POSITIVE,information
Yet again DuGood has exceeded my expectations as a customer We closed on another property and everything was handled professionally and efficiently Cassidy and Blake are a dynamic duo Tara B is always helpful in our other needs Chris and I are customers for life and brag about you guys all the time All the best Crystal,"dynamic duo,helpful need,best crystal",POSITIVE,appreciation
The services was great and very efficient And they looked for way to help me lower my car payments and interest rates ,lower car,NEGATIVE,appreciation
Opened an account and the staff I worked with is wonderful Thank you ,wonderful thank,POSITIVE,appreciation
I was helped from start to finish on making a new home loan and setting up an account The folks I spoke with were very pleasant and at the top of their game Their knowledge of your product and their jobs was unequaled I will definitely be recommending y all to all that I know ,"new home,top game",POSITIVE,information
The process was fast and easy Tara was a big help ,big help,POSITIVE,information
Very satisfied with the service we received percent Our loan officer was very helpful ,satisfied service,POSITIVE,appreciation
Great service setting up our accounts everything went great,great service,POSITIVE,information
I was truly pleased when i walked in the Door Everyone had a smile an was very inviting to the branch i was there to cash a check but decided to open me an account i would recommend anyone to Join this Credit union fast ,open account,POSITIVE,information
really friendly and helpful staff i would recommend this credit union to all my family and friends,helpful staff,POSITIVE,information
Customer service is awesome I recently just opened a new account and I must say my whole my experience went very smooth I appreciate all the help Mrs Kayla provided,"new account,whole experience",POSITIVE,information
The process of establishing an account was simple and easy with the help of the wonderful staff ,"easy help,wonderful staff",POSITIVE,appreciation
Audrey made the entire loan process quick and painless She was very responsive and did a great job following up ,"entire loan,great job",POSITIVE,appreciation
DuGood employees and staff especially Genise at the Edison Plaza Branch have been fast courteous efficient and so very helpful in every aspect of my banking needs I have been recommending DuGood to everyone and their brothers I should clarify that ALL the staff at the Edison Plaza Branch are exceptional ,dugood employee,POSITIVE,appreciation
The customer service and loan officers were very nice and would go out of their way to help you no matter what the problems were I had given up on a loan but they reassured me it would be alright and it was ,matter problem,NEGATIVE,complaint
Walked inside to open a new account The employees were super helpful So glad I went with them ,new account,POSITIVE,information
Very friendly kept me informed makes you feel important,informed make,POSITIVE,information
There s always smiling helpful and knowledgeable about your account and anything you don t understand they re willing to find the proper help you need I ve been with them for many years and I m truly happy and have brought my friends and family ,"knowledgeable account,proper help,many year",POSITIVE,information
Nice envoirment ,nice envoirment,POSITIVE,appreciation
We always have the best experience at this branch Tammy is always a joy to work with All the employees are extremely friendly and helpful,best experience,POSITIVE,appreciation
Easy to communicate with helpful fast on making me a loan and worked with my schedule to make is fast and easy ,fast making,POSITIVE,appreciation
I had very good experience They ve always done us right Exceptional service stars,"good experience,exceptional service",POSITIVE,appreciation
This was my first time to ever try to get a loan I was really nervous The one that helped me was very nice understood me explained everything to me I am very thankful for the service that I received ,"first time,thankful service",POSITIVE,appreciation
Very professional and thorough explanation of benefits Thankful that my new car loan is through DuGood ,"thorough explanation,new car",POSITIVE,information
Very friendly and courteous extremely knowledgeable great experience,great experience,POSITIVE,appreciation
I would recommend this bank to other people because my experience was great She was very thorough and very patient with me during all my questions I appreciate that she went over all the many different options that I had to choose from without feelings of being rushed Thank you,"patient question,different option",POSITIVE,information
Sara Newton was quick to respond to my online application She answered all questions and was friendly and courteous ,"quick respond,online application",NEGATIVE,information
Thank You for helping Me out The Lady that filled out the Application Was a Very Nice Lady ,nice lady,POSITIVE,appreciation
The people was so very nice and helpful to me they did a great job,great job,POSITIVE,appreciation
I was met with smiling courteous employee She was very helpful offered options when available Finished my business in a timely manner,"courteous employee,finished business",POSITIVE,appreciation
