,comments,CleanedText
78,Bag is very good..very light weight..storage is 32 ltr which is more than sufficient..strap padding is not so good..it should be better.. overall 4.3⭐ out of 5,Bag is very good. very light weight. storage is 32 ltr which is more than sufficient. strap padding is not so good. it should be better. overall 4.3⭐ out of 5
79,Good,Good
80,No warranty stamp,No warranty stamp
81,Easy and simple to carry anywhere,Easy and simple to carry anywhere
82,Good,Good
83,"Bag Was Good, Space Kafi Hai Agar Aap Space K Lie Dekh Rahe Hai To Better One, Second Is Ki Bag Kafi Light Weight Hai So Carry Karna Easy Hai Looking All Ok Ok But Thoda Bulky Bulky Laga Mujhe Personally Baki Bag Was Good","Bag Was Good, Space Kafi Hai Agar Aap Space K Lie Dekh Rahe Hai To Better One, Second Is Ki Bag Kafi Light Weight Hai So Carry Karna Easy Hai Looking All Ok Ok But Thoda Bulky Bulky Laga Mujhe Personally Baki Bag Was Good"
84,It's light in weigt even after packing.. Go for it.. Worth buying,It's light in weigt even after packing. Go for it. Worth buying
85,"Nice light weight bag. Good size, number of pockets, quality of material. Rate is reasonable for the quality. Satisfied with the purchase","Nice light weight bag. Good size, number of pockets, quality of material. Rate is reasonable for the quality. Satisfied with the purchase"
86,Good back pack for short trips and local travel.,Good back pack for short trips and local travel.
87,high quality bags reasonable price. high capacity premium school/travelling bag..No rain cover..,high quality bags reasonable price. high capacity premium school/travelling bag. No rain cover.
88,,
89,My son was so happy,My son was so happy
90,Good,Good
91,it's good in look but not fully water resistant and you can't keep  laptop in it.,it's good in look but not fully water resistant and you can't keep  laptop in it.
92,Not so good qualityNot fully waterproof,Not so good qualityNot fully waterproof
93,,
94,Ample space for stuff suitable for class 3+ My son loved it. He selected it on site and happy with it.Sufficient space for everything. There could be extra strap / belt to hold full length bottles in side pockets.,Ample space for stuff suitable for class 3+ My son loved it. He selected it on site and happy with it. Sufficient space for everything. There could be extra strap / belt to hold full length bottles in side pockets.
95,I m satisfied,I m satisfied
96,"Laptop Layer not available ,loptop not suitable","Laptop Layer not available ,loptop not suitable"
97,NYC one,NYC one
98,"I bought this at 699, its very affordable brand like AT.. Thank u amazon","I bought this at 699, its very affordable brand like AT. Thank u amazon"
99,,
100,PROS : VERY LIGHTWEIGHTGOOD FOR 6TH TO 12 [5TH ALSO]CONS : NOT FOR TRAVELLING /TREKKINGFOR TREKKING 70 L IS NEEDED [MY OPINION]OVERALL GOOD BAG IF YOU ARE LOOKING FOR A LONG LASTING GOOD BAG CHEAP PRICE GO FOR IT IN CASE FOR WATERPROOF I WOULD GIVE 4 NOT 5 BECAUSE THEY SHOULD HAVE GIVEN RAIN COVER FOR THE BAG,PROS : VERY LIGHTWEIGHTGOOD FOR 6TH TO 12 [5TH ALSO]CONS : NOT FOR TRAVELLING /TREKKINGFOR TREKKING 70 L IS NEEDED [MY OPINION]OVERALL GOOD BAG IF YOU ARE LOOKING FOR A LONG LASTING GOOD BAG CHEAP PRICE GO FOR IT IN CASE FOR WATERPROOF I WOULD GIVE 4 NOT 5 BECAUSE THEY SHOULD HAVE GIVEN RAIN COVER FOR THE BAG
101,"I bought this only for Rs. 899 . In this price, I am totally satisfied with it's built quality and storage capacity. Also the looks are very attractive. So I can recommend it for casual traveling person and school and college students.  Great deal ✌️✌️","I bought this only for Rs. 899 . In this price, I am totally satisfied with it's built quality and storage capacity. Also the looks are very attractive. So I can recommend it for casual traveling person and school and college students.  Great deal ✌️✌️"
102,"Lightweight, color is also good.... Over all very good","Lightweight, color is also good. Over all very good"
103,Very mast h re baba . Got at 800 rs . Value for money.,Very mast h re baba . Got at 800 rs . Value for money.
104,first impression - decent product for 999 rs. hoping american tourister will last long...,first impression - decent product for 999 rs. hoping american tourister will last long.
105,Good value,Good value
106,Good bag but Looks like school bag more than college,Good bag but Looks like school bag more than college
107,I bought it in mansoon as I wanted a waterproof product to keep my books and stuff safe.Pro: 1 quality is good not best  2. Stitches are strong  3. Can use for more weight than they  advice  4. No worry for 3 to 4 years for sure with  average use  5. Back sheet is soft and net gives  breathing effect to back  6. Can use as backpack but not with  heavy stuff  Cons: 1. Waterproofing is not that best  2. Can't use in heavy rains  3. Back side is not that much  breathable  4. Pockets for different stuff is not  given as it's not backpack people  use it for school and college  5. Price is little higher than affordable  If you get caught in any offer you  should certainly go for it,I bought it in mansoon as I wanted a waterproof product to keep my books and stuff safe. Pro: 1 quality is good not best  2. Stitches are strong  3. Can use for more weight than they  advice  4. No worry for 3 to 4 years for sure with  average use  5. Back sheet is soft and net gives  breathing effect to back  6. Can use as backpack but not with  heavy stuff  Cons: 1. Waterproofing is not that best  2. Can't use in heavy rains  3. Back side is not that much  breathable  4. Pockets for different stuff is not  given as it's not backpack people  use it for school and college  5. Price is little higher than affordable  If you get caught in any offer you  should certainly go for it
108,It’s nice,It’s nice
109,I used for school bag purpose.,I used for school bag purpose.
110,Water rain cover not giving,Water rain cover not giving
111,Good,Good
112,Its good in looking..But not rough and tough.,Its good in looking. But not rough and tough.
113,Ok,Ok
114,Happy with the bag.... Good quality and water resistant.,Happy with the bag. Good quality and water resistant.
115,Very good product,Very good product
116,My first purchase of AT. It's better than Safari but VIP Footloose is more comfortable than AT.,My first purchase of AT. It's better than Safari but VIP Footloose is more comfortable than AT.
117,Just love it.... Very comfort to use,Just love it. Very comfort to use
118,Just go for it!Amazing bag🤩,Just go for it. Amazing bag🤩
119,Happy,Happy
120,good  bag pack,good  bag pack
121,Brought it as college bag for my daughter.. She liked it..,Brought it as college bag for my daughter. She liked it.
122,The quality of the bag is not good.,The quality of the bag is not good.
123,"Good product at the price point, does the duty as mentioned. Good job.","Good product at the price point, does the duty as mentioned. Good job."
124,Stitching quality is not good.,Stitching quality is not good.
125,Its ok for this price but with out rain cover pouch its hard for rainy season,Its ok for this price but with out rain cover pouch its hard for rainy season
126,Bag quality is not up to the mark.,Bag quality is not up to the mark.
127,Good,Good
128,"I am 11 years old using this bag for school ,it's very comfortable to carry all my books i recommend this product for school kids and collage students. Best product from American tourister","I am 11 years old using this bag for school ,it's very comfortable to carry all my books i recommend this product for school kids and collage students. Best product from American tourister"
129,Good product for college as well as school students. It is Light weighted and made of good metrial .,Good product for college as well as school students. It is Light weighted and made of good metrial .
130,"The media could not be loaded.
                



 Very good 🛍️","The media could not be loaded.
                



 Very good 🛍️"
131,Worthy ✨,Worthy ✨
132,Dint like the quality,Dint like the quality
133,Design of the bag is good but one issue is that printed design gets wear and by use of  time.,Design of the bag is good but one issue is that printed design gets wear and by use of  time.
134,ok super,ok super
135,Okk,Okk
136,Good one …bought as my kids school bag…size a little big for a 12 yr old …nice Color & design,Good one …bought as my kids school bag…size a little big for a 12 yr old …nice Color & design
137,Nice product,Nice product
138,,
139,"The media could not be loaded.
                



 After 1Year continuous rough use product is in good Condition,.  Bahot Badhiya Product hai...  KHARID LO....🥰","The media could not be loaded.
                



 After 1Year continuous rough use product is in good Condition,.  Bahot Badhiya Product hai.  KHARID LO.🥰"
140,Good quality bag.  only thing is laptop partition not with strap. Key chain hanger not provided.,Good quality bag.  only thing is laptop partition not with strap. Key chain hanger not provided.
141,Good product but side bottle pockets are not strong.,Good product but side bottle pockets are not strong.
142,Nice,Nice
143,"Very nice bag for office, school and light travel purpose.","Very nice bag for office, school and light travel purpose."
144,Product is good for traveling....yes its too light to use,Product is good for traveling. yes its too light to use
145,"The media could not be loaded.
                



 Awesome one .... It's light weight n it's good product","The media could not be loaded.
                



 Awesome one . It's light weight n it's good product"
146,"The media could not be loaded.
                



 Bought it for my mother who travels a lotSo she needed a compartment in the frontThis has a small compartment in the front where you can keep your mobile or ladies wallet.I think its water resistantVery light weightVery good back supportYou will get these kinda bags in other brands at much cheaper price but i would always go for american tourister/VIP/Wildcraft because they last longer in my experience.","The media could not be loaded.
                



 Bought it for my mother who travels a lotSo she needed a compartment in the frontThis has a small compartment in the front where you can keep your mobile or ladies wallet. I think its water resistantVery light weightVery good back supportYou will get these kinda bags in other brands at much cheaper price but i would always go for american tourister/VIP/Wildcraft because they last longer in my experience."
147,Good,Good
148,Quality is good,Quality is good
149,"The bag is pretty good for day to day college use, it is lightweight and water resistant. To sum up in a few words, it is a totally ""WORTH"" buy.🤗","The bag is pretty good for day to day college use, it is lightweight and water resistant. To sum up in a few words, it is a totally ""WORTH"" buy.🤗"
150,Mja aa gya guru,Mja aa gya guru
151,"Superb back, go for it. Perfect bag for travelling.","Superb back, go for it. Perfect bag for travelling."
152,Good product,Good product
153,I have been using for a month for school by far it is it is very good and durable for carrying a lots of books and has many good organizer,I have been using for a month for school by far it is it is very good and durable for carrying a lots of books and has many good organizer
154,Must to buy it.amezing to use smooth and very light bag .,Must to buy it. amezing to use smooth and very light bag .
155,Good product and quality too,Good product and quality too
156,It's really very good product.,It's really very good product.
157,IT IS MENTIONED THAT RAIN COVER IS PROVIDED BUT ACTUALLY RAIN COVER IS NOT PROVIDED.I AM GIVING FOUR STARS ONLY FOR THIS REASON.BAG IS SUPERB.,IT IS MENTIONED THAT RAIN COVER IS PROVIDED BUT ACTUALLY RAIN COVER IS NOT PROVIDED. I AM GIVING FOUR STARS ONLY FOR THIS REASON. BAG IS SUPERB.
158,The quality of the bag was good and I like it,The quality of the bag was good and I like it
159,It's a quite good product.The fabric is excellent good product American tourister👍👍👍👍carry on.....,It's a quite good product. The fabric is excellent good product American tourister👍👍👍👍carry on.
160,Perfect bag for travel. It can take lot of items. Only thing missing was a separate pouch for carrying laptop.,Perfect bag for travel. It can take lot of items. Only thing missing was a separate pouch for carrying laptop.
161,"Very nice product,l like it.","Very nice product,l like it."
162,"The media could not be loaded.
                



 Very nice quality.value for miney","The media could not be loaded.
                



 Very nice quality. value for miney"
163,Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight  good design but..The quality  was not that good as expected  from American  touristerBottle holder  was also bigBag is suitable for 8th-CollegeThanks amazon,Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight  good design but. The quality  was not that good as expected  from American  touristerBottle holder  was also bigBag is suitable for 8th-CollegeThanks amazon
164,nice,nice
165,It's goneHow is will claim to warrenty,It's goneHow is will claim to warrenty
166,Good looking with better quality,Good looking with better quality
167,I like,I like
168,Light weight,Light weight
169,No laptop compartment,No laptop compartment
170,In photo bag with bottle but in order there is only a bagPlease submit the correct products,In photo bag with bottle but in order there is only a bagPlease submit the correct products
171,Light weight. But have apprehension about the durability and material of the product.,Light weight. But have apprehension about the durability and material of the product.
172,Best quality and light weight. Go ahead,Best quality and light weight. Go ahead
173,"The quality of zippers  are nice, but the top layer is peeling off…  this is really sad bad.","The quality of zippers  are nice, but the top layer is peeling off…  this is really sad bad."
174,Not ok,Not ok
175,"Like the product, but discounting the price company is avoiding accessories.. it is mentioned in the product that there is rain cover, but didn't recieveReplaced the bag, still got the bag without rain cover.Cheap tricks by company","Like the product, but discounting the price company is avoiding accessories. it is mentioned in the product that there is rain cover, but didn't recieveReplaced the bag, still got the bag without rain cover. Cheap tricks by company"
176,Good product,Good product
177,Good,Good
178,"Perfect bag!!!! big spaces, it can fit so many books and lot more, the chains are perfect  work smoothly and no matter how many books i carry it never hurts my shoulders 🥺 just go for it, it's worth every penny","Perfect bag. big spaces, it can fit so many books and lot more, the chains are perfect  work smoothly and no matter how many books i carry it never hurts my shoulders 🥺 just go for it, it's worth every penny"
179,"The media could not be loaded.
                



 Very good bag thanks 😊","The media could not be loaded.
                



 Very good bag thanks 😊"
180,"Good looking, light, price is okay.","Good looking, light, price is okay."
181,Very nice and beautiful bag but need to improve the quality of the bags zip,Very nice and beautiful bag but need to improve the quality of the bags zip
182,"My son is so happy using thus bag, value for money","My son is so happy using thus bag, value for money"
183,ok average,ok average
184,"The media could not be loaded.
                



 I had ordered this bag on the name of American Tourister that it is very good and strong bag but the front design is very cheap,poor after a single wash the front design started to be very loose and stared coming out from from it and it is mentioned that it is water resistant,so i am telling you that it doesn't protect books and copies from a single glass of water.I will you all the you want to buy this product, please do not this rubbish bag.","The media could not be loaded.
                



 I had ordered this bag on the name of American Tourister that it is very good and strong bag but the front design is very cheap,poor after a single wash the front design started to be very loose and stared coming out from from it and it is mentioned that it is water resistant,so i am telling you that it doesn't protect books and copies from a single glass of water. I will you all the you want to buy this product, please do not this rubbish bag."
185,Zip quality is not good.,Zip quality is not good.
186,Quality not good,Quality not good
187,"Quality is ok, not so great.","Quality is ok, not so great."
188,"I like it,it's for school purpose","I like it,it's for school purpose"
189,"The media could not be loaded.
                



 Nice","The media could not be loaded.
                



 Nice"
190,Superb,Superb
191,bdhia,bdhia
192,Best for 4 class kids,Best for 4 class kids
193,The media could not be loaded.,The media could not be loaded.
194,As per my opinion quality can be more better in this price,As per my opinion quality can be more better in this price
195,Good product,Good product
196,It’s ok,It’s ok
197,Good for daily use,Good for daily use
198,Overall nice bag. Using it as college bag. No big issue found,Overall nice bag. Using it as college bag. No big issue found
199,Awesome quality .....,Awesome quality .
200,Value of money,Value of money
201,I like this product i usually using for school,I like this product i usually using for school
202,Product quality  nice,Product quality  nice
203,Really best for college studentsSpaceshipBest for travelingAnd At last it's quality is so awesomeAmazon is best 💖,Really best for college studentsSpaceshipBest for travelingAnd At last it's quality is so awesomeAmazon is best 💖
204,Good product 👍👍👍👍😂👍,Good product 👍👍👍👍😂👍
205,good,good
206,Color is light but very good,Color is light but very good
207,Good bag but it's only for school 🎒,Good bag but it's only for school 🎒
208,,
209,"Nice quality,but no rain cover","Nice quality,but no rain cover"
210,It is a nice bag ..light weight and quality product...,It is a nice bag . light weight and quality product.
211,Light weight not to carry heavy items but good quality overall,Light weight not to carry heavy items but good quality overall
212,"Good looks,ya it's definitely water resistant,you can use it for travelling purpose also,worth every penny","Good looks,ya it's definitely water resistant,you can use it for travelling purpose also,worth every penny"
213,,
214,"Water resistant, good quality in this price, worth ordering","Water resistant, good quality in this price, worth ordering"
215,Good,Good
216,Not worth for money,Not worth for money
217,Good Product,Good Product
218,Very good size bag  for my child.,Very good size bag  for my child.
219,Overall a good bag.,Overall a good bag.
220,Good in this price Range,Good in this price Range
221,Looks good100% polyesterCloth quality 4/5Light weightNO RAIN COVER 👎,Looks good100% polyesterCloth quality 4/5Light weightNO RAIN COVER 👎
222,"Good looking, stylish, heavy duty","Good looking, stylish, heavy duty"
223,Good for both school and personal  use,Good for both school and personal  use
224,I took this for my college use but it seemed handy for trekking as well for carrying required product amazing build quality,I took this for my college use but it seemed handy for trekking as well for carrying required product amazing build quality
225,Good bag,Good bag
226,It is very good bagpack for school or for travelling it is value for money bugjet bag by the way..,It is very good bagpack for school or for travelling it is value for money bugjet bag by the way.
227,Nice product,Nice product
228,Fantastic quality. Absolutely value for the money. I recommend it for a regular traveller.,Fantastic quality. Absolutely value for the money. I recommend it for a regular traveller.
229,Stichhing is average,Stichhing is average
230,"The media could not be loaded.
                



 There was no cover","The media could not be loaded.
                



 There was no cover"
231,Gifted ro my nephew who was going to for futher studies. He liked it very much,Gifted ro my nephew who was going to for futher studies. He liked it very much
232,Quality is the very low,Quality is the very low
233,Bought it for school going son studying in 7th standard. Spacious and light,Bought it for school going son studying in 7th standard. Spacious and light
234,The bag is little bit small as shown in figure when it delivered I was dissatisfied otherwise it had good quality the material was too good this bags lift weights upto 15 kg good product must order this product was awesome 😎👍🏻(✿^‿^)ʘ‿ʘ(. ❛ ᴗ ❛.)(◔‿◔)( ◜‿◝ )♡,The bag is little bit small as shown in figure when it delivered I was dissatisfied otherwise it had good quality the material was too good this bags lift weights upto 15 kg good product must order this product was awesome 😎👍🏻(✿^‿^)ʘ‿ʘ(. ❛ ᴗ ❛.)(◔‿◔)( ◜‿◝ )♡
235,Worth to buy,Worth to buy
236,Ok ok product..price is bit let down.,Ok ok product. price is bit let down.
237,Very nice back pack its sturdy & useful with multiple compartment for different use. Zip quality is best. Recommended to by,Very nice back pack its sturdy & useful with multiple compartment for different use. Zip quality is best. Recommended to by
238,Not as tough as expected.,Not as tough as expected.
239,Like,Like
240,The bag is very stylish and light weighted and has good quality zips also,The bag is very stylish and light weighted and has good quality zips also
241,"The imprint of American tourister peeled off within 2 days. So if you are buying it for the look of it, it's not going to last you. My bag got wet in the rain, and the imprint came off .The bag is good quality though apart from the bad quality of printing the name.","The imprint of American tourister peeled off within 2 days. So if you are buying it for the look of it, it's not going to last you. My bag got wet in the rain, and the imprint came off . The bag is good quality though apart from the bad quality of printing the name."
242,average,average
243,Excellent school bag for kids 2nd class to---till 10 th class,Excellent school bag for kids 2nd class to---till 10 th class
244,Super,Super
245,Like,Like
246,Light weight and easy to handle,Light weight and easy to handle
247,"The media could not be loaded.
                



 Light weight,best for travelling","The media could not be loaded.
                



 Light weight,best for travelling"
248,Not separate space for laptop,Not separate space for laptop
249,It's just ok ok bag. Good for carrying to college and travelling small distance. Spacious.,It's just ok ok bag. Good for carrying to college and travelling small distance. Spacious.
250,,
251,"There is no rain cover , but original with price tag","There is no rain cover , but original with price tag"
252,"It's the best school bag. Extremely high quality, amazing in looks. Everything is perfect.I recommend everybody who needs a bag to buy this one. It's Fantastic..","It's the best school bag. Extremely high quality, amazing in looks. Everything is perfect. I recommend everybody who needs a bag to buy this one. It's Fantastic."
253,Fully satisfied with the quality,Fully satisfied with the quality
254,,
255,"Not happy with the product . The material used for inner partition is of inferior quality.  Used for just 3 months and the net pocket tearing off.  Straps are not sturdy; Shoulder start to pain if bag gets heavy .I think the bag is a duplicate one. Giving 2 star for timely delivery,  one star for the bag.","Not happy with the product . The material used for inner partition is of inferior quality.  Used for just 3 months and the net pocket tearing off.  Straps are not sturdy; Shoulder start to pain if bag gets heavy . I think the bag is a duplicate one. Giving 2 star for timely delivery,  one star for the bag."
256,"THE BAG IS THE BEST IN THIS BUDGET , IT IS LIGHT IN WEIGHT AND PERFECT FOR THE STUDENTS.","THE BAG IS THE BEST IN THIS BUDGET , IT IS LIGHT IN WEIGHT AND PERFECT FOR THE STUDENTS."
257,It's good but  when I just use it for some days I found out that one zip of the bag is not smoot,It's good but  when I just use it for some days I found out that one zip of the bag is not smoot
258,It was great Bag for college students and it had great zip quality i wa dis satisfied just by middle compartment as it wa thinner  comparatively over all it was a great product would be better if price was 800,It was great Bag for college students and it had great zip quality i wa dis satisfied just by middle compartment as it wa thinner  comparatively over all it was a great product would be better if price was 800
259,Not good for school bag,Not good for school bag
260,I liked the product but the material of bag is very thin and It only has a warranty of only 1 year,I liked the product but the material of bag is very thin and It only has a warranty of only 1 year
261,I didn't get the rain cover bad quality,I didn't get the rain cover bad quality
262,Not worthy,Not worthy
263,I like this bag,I like this bag
264,"Nice Bag, Nice Colour..... I would suggest it for schools students only ( 1- 10th )","Nice Bag, Nice Colour. I would suggest it for schools students only ( 1- 10th )"
265,A,A
266,Just ok,Just ok
267,School bag,School bag
268,Since i am using last 4 year not a single damage,Since i am using last 4 year not a single damage
269,"Medium quality, less durability,well zips, medium comfort , Light weight bag so I'm using for my college best price 700-800, I'm buying this bag Rs725. On 2022 march","Medium quality, less durability,well zips, medium comfort , Light weight bag so I'm using for my college best price 700-800, I'm buying this bag Rs725. On 2022 march"
270,Nice material it is not water resistant or can use for travel purposes..for office use like laptops..,Nice material it is not water resistant or can use for travel purposes. for office use like laptops.
271,,
272,"Quality , very good quality and big size bag","Quality , very good quality and big size bag"
273,"Quality of the product not good, loking fake American tourister","Quality of the product not good, loking fake American tourister"
274,"Very nice bag interms of qualty, color, style & most important price","Very nice bag interms of qualty, color, style & most important price"
275,Finish is not that great considering it is from American Tourister!!!,Finish is not that great considering it is from American Tourister.
276,,
277,Quality is really good in this price.,Quality is really good in this price.
278,,
279,"Too Lightweight, poor material used and no sturdiness in the bag","Too Lightweight, poor material used and no sturdiness in the bag"
280,"Likes-  light weight, water resistant, and good quality and amazing looksCons- front design get scratches easily and look kind of bad when we look closely but from a distance it does not bother for anything","Likes-  light weight, water resistant, and good quality and amazing looksCons- front design get scratches easily and look kind of bad when we look closely but from a distance it does not bother for anything"
281,The bag was amazing! It's perfect for School as well as for College student to look cool I bought the Red colour it was bright & Fine. There is much place to put your stuff inside it. I would suggest you to take this bag when offer price is about ₹1000-₹1200. It's worth it!,The bag was amazing. It's perfect for School as well as for College student to look cool I bought the Red colour it was bright & Fine. There is much place to put your stuff inside it. I would suggest you to take this bag when offer price is about ₹1000-₹1200. It's worth it.
282,Very good,Very good
283,Overall good and original product,Overall good and original product
284,Bag is best but I return bag for size...in bag my Titan watch pls send my watch,Bag is best but I return bag for size. in bag my Titan watch pls send my watch
