Unnamed: 0,comments,CleanedText,sentiment
58,I am satisfied with this ...I got it by Rs..999..it is good and size is also good.,I am satisfied with this . I got it by Rs.999. it is good and size is also good.,POSITIVE
59,Good,Good,POSITIVE
60,When I got this product in my hands it was in very good condition.,When I got this product in my hands it was in very good condition.,POSITIVE
61,Excellent👍,Excellent👍,POSITIVE
62,"Everything is good in this bag but The material quality of the bag is so bad.So, plz don't buy this bag.","Everything is good in this bag but The material quality of the bag is so bad. So, plz don't buy this bag.",NEGATIVE
63,Bought this for my 11yr old son as his new school bag. Light & does the job. Value for money (<₹1K). Writing this review after 1month of use. Will be happy if it stays for 1 full academic year.,Bought this for my 11yr old son as his new school bag. Light & does the job. Value for money (<₹1K). Writing this review after 1month of use. Will be happy if it stays for 1 full academic year.,NEGATIVE
64,Good but not perfect,Good but not perfect,NEGATIVE
66,Durable and usefull.. best quality,Durable and usefull. best quality,POSITIVE
67,"The bag was not as i wanted so i returned it and buy another one which was better than this one but the good part in all these buying and returning process was Amazon's fastest,reliable services thank you amazone","The bag was not as i wanted so i returned it and buy another one which was better than this one but the good part in all these buying and returning process was Amazon's fastest,reliable services thank you amazone",POSITIVE
68,"It's too much light weight,and stylish.","It's too much light weight,and stylish.",POSITIVE
69,Value for money,Value for money,POSITIVE
70,THANK YOU,THANK YOU,POSITIVE
71,Must buy .,Must buy .,POSITIVE
72,Like it,Like it,POSITIVE
73,👌 👍🏻,👌 👍🏻,POSITIVE
74,Best one that I had,Best one that I had,POSITIVE
76,awsome product,awsome product,NEGATIVE
77,Overall very good,Overall very good,POSITIVE
78,Bag is very good..very light weight..storage is 32 ltr which is more than sufficient..strap padding is not so good..it should be better.. overall 4.3⭐ out of 5,Bag is very good. very light weight. storage is 32 ltr which is more than sufficient. strap padding is not so good. it should be better. overall 4.3⭐ out of 5,NEGATIVE
79,Good,Good,POSITIVE
80,No warranty stamp,No warranty stamp,NEGATIVE
81,Easy and simple to carry anywhere,Easy and simple to carry anywhere,POSITIVE
82,Good,Good,POSITIVE
83,"Bag Was Good, Space Kafi Hai Agar Aap Space K Lie Dekh Rahe Hai To Better One, Second Is Ki Bag Kafi Light Weight Hai So Carry Karna Easy Hai Looking All Ok Ok But Thoda Bulky Bulky Laga Mujhe Personally Baki Bag Was Good","Bag Was Good, Space Kafi Hai Agar Aap Space K Lie Dekh Rahe Hai To Better One, Second Is Ki Bag Kafi Light Weight Hai So Carry Karna Easy Hai Looking All Ok Ok But Thoda Bulky Bulky Laga Mujhe Personally Baki Bag Was Good",POSITIVE
84,It's light in weigt even after packing.. Go for it.. Worth buying,It's light in weigt even after packing. Go for it. Worth buying,POSITIVE
85,"Nice light weight bag. Good size, number of pockets, quality of material. Rate is reasonable for the quality. Satisfied with the purchase","Nice light weight bag. Good size, number of pockets, quality of material. Rate is reasonable for the quality. Satisfied with the purchase",POSITIVE
86,Good back pack for short trips and local travel.,Good back pack for short trips and local travel.,POSITIVE
87,high quality bags reasonable price. high capacity premium school/travelling bag..No rain cover..,high quality bags reasonable price. high capacity premium school/travelling bag. No rain cover.,POSITIVE
89,My son was so happy,My son was so happy,POSITIVE
90,Good,Good,POSITIVE
91,it's good in look but not fully water resistant and you can't keep  laptop in it.,it's good in look but not fully water resistant and you can't keep  laptop in it.,NEGATIVE
92,Not so good qualityNot fully waterproof,Not so good qualityNot fully waterproof,NEGATIVE
94,Ample space for stuff suitable for class 3+ My son loved it. He selected it on site and happy with it.Sufficient space for everything. There could be extra strap / belt to hold full length bottles in side pockets.,Ample space for stuff suitable for class 3+ My son loved it. He selected it on site and happy with it. Sufficient space for everything. There could be extra strap / belt to hold full length bottles in side pockets.,POSITIVE
95,I m satisfied,I m satisfied,POSITIVE
96,"Laptop Layer not available ,loptop not suitable","Laptop Layer not available ,loptop not suitable",NEGATIVE
97,NYC one,NYC one,POSITIVE
98,"I bought this at 699, its very affordable brand like AT.. Thank u amazon","I bought this at 699, its very affordable brand like AT. Thank u amazon",POSITIVE
100,PROS : VERY LIGHTWEIGHTGOOD FOR 6TH TO 12 [5TH ALSO]CONS : NOT FOR TRAVELLING /TREKKINGFOR TREKKING 70 L IS NEEDED [MY OPINION]OVERALL GOOD BAG IF YOU ARE LOOKING FOR A LONG LASTING GOOD BAG CHEAP PRICE GO FOR IT IN CASE FOR WATERPROOF I WOULD GIVE 4 NOT 5 BECAUSE THEY SHOULD HAVE GIVEN RAIN COVER FOR THE BAG,PROS : VERY LIGHTWEIGHTGOOD FOR 6TH TO 12 [5TH ALSO]CONS : NOT FOR TRAVELLING /TREKKINGFOR TREKKING 70 L IS NEEDED [MY OPINION]OVERALL GOOD BAG IF YOU ARE LOOKING FOR A LONG LASTING GOOD BAG CHEAP PRICE GO FOR IT IN CASE FOR WATERPROOF I WOULD GIVE 4 NOT 5 BECAUSE THEY SHOULD HAVE GIVEN RAIN COVER FOR THE BAG,NEGATIVE
101,"I bought this only for Rs. 899 . In this price, I am totally satisfied with it's built quality and storage capacity. Also the looks are very attractive. So I can recommend it for casual traveling person and school and college students.  Great deal ✌️✌️","I bought this only for Rs. 899 . In this price, I am totally satisfied with it's built quality and storage capacity. Also the looks are very attractive. So I can recommend it for casual traveling person and school and college students.  Great deal ✌️✌️",POSITIVE
102,"Lightweight, color is also good.... Over all very good","Lightweight, color is also good. Over all very good",POSITIVE
103,Very mast h re baba . Got at 800 rs . Value for money.,Very mast h re baba . Got at 800 rs . Value for money.,NEGATIVE
104,first impression - decent product for 999 rs. hoping american tourister will last long...,first impression - decent product for 999 rs. hoping american tourister will last long.,POSITIVE
105,Good value,Good value,POSITIVE
106,Good bag but Looks like school bag more than college,Good bag but Looks like school bag more than college,POSITIVE
107,I bought it in mansoon as I wanted a waterproof product to keep my books and stuff safe.Pro: 1 quality is good not best  2. Stitches are strong  3. Can use for more weight than they  advice  4. No worry for 3 to 4 years for sure with  average use  5. Back sheet is soft and net gives  breathing effect to back  6. Can use as backpack but not with  heavy stuff  Cons: 1. Waterproofing is not that best  2. Can't use in heavy rains  3. Back side is not that much  breathable  4. Pockets for different stuff is not  given as it's not backpack people  use it for school and college  5. Price is little higher than affordable  If you get caught in any offer you  should certainly go for it,I bought it in mansoon as I wanted a waterproof product to keep my books and stuff safe. Pro: 1 quality is good not best  2. Stitches are strong  3. Can use for more weight than they  advice  4. No worry for 3 to 4 years for sure with  average use  5. Back sheet is soft and net gives  breathing effect to back  6. Can use as backpack but not with  heavy stuff  Cons: 1. Waterproofing is not that best  2. Can't use in heavy rains  3. Back side is not that much  breathable  4. Pockets for different stuff is not  given as it's not backpack people  use it for school and college  5. Price is little higher than affordable  If you get caught in any offer you  should certainly go for it,POSITIVE
108,It’s nice,It’s nice,POSITIVE
109,I used for school bag purpose.,I used for school bag purpose.,NEGATIVE
110,Water rain cover not giving,Water rain cover not giving,NEGATIVE
111,Good,Good,POSITIVE
112,Its good in looking..But not rough and tough.,Its good in looking. But not rough and tough.,POSITIVE
113,Ok,Ok,POSITIVE
114,Happy with the bag.... Good quality and water resistant.,Happy with the bag. Good quality and water resistant.,POSITIVE
115,Very good product,Very good product,POSITIVE
116,My first purchase of AT. It's better than Safari but VIP Footloose is more comfortable than AT.,My first purchase of AT. It's better than Safari but VIP Footloose is more comfortable than AT.,POSITIVE
117,Just love it.... Very comfort to use,Just love it. Very comfort to use,POSITIVE
118,Just go for it!Amazing bag🤩,Just go for it. Amazing bag🤩,POSITIVE
119,Happy,Happy,POSITIVE
120,good  bag pack,good  bag pack,POSITIVE
121,Brought it as college bag for my daughter.. She liked it..,Brought it as college bag for my daughter. She liked it.,POSITIVE
122,The quality of the bag is not good.,The quality of the bag is not good.,NEGATIVE
123,"Good product at the price point, does the duty as mentioned. Good job.","Good product at the price point, does the duty as mentioned. Good job.",POSITIVE
124,Stitching quality is not good.,Stitching quality is not good.,NEGATIVE
125,Its ok for this price but with out rain cover pouch its hard for rainy season,Its ok for this price but with out rain cover pouch its hard for rainy season,NEGATIVE
126,Bag quality is not up to the mark.,Bag quality is not up to the mark.,NEGATIVE
127,Good,Good,POSITIVE
128,"I am 11 years old using this bag for school ,it's very comfortable to carry all my books i recommend this product for school kids and collage students. Best product from American tourister","I am 11 years old using this bag for school ,it's very comfortable to carry all my books i recommend this product for school kids and collage students. Best product from American tourister",POSITIVE
129,Good product for college as well as school students. It is Light weighted and made of good metrial .,Good product for college as well as school students. It is Light weighted and made of good metrial .,POSITIVE
130,"The media could not be loaded.
                



 Very good 🛍️","The media could not be loaded.
                



 Very good 🛍️",NEGATIVE
131,Worthy ✨,Worthy ✨,POSITIVE
132,Dint like the quality,Dint like the quality,POSITIVE
133,Design of the bag is good but one issue is that printed design gets wear and by use of  time.,Design of the bag is good but one issue is that printed design gets wear and by use of  time.,NEGATIVE
134,ok super,ok super,POSITIVE
135,Okk,Okk,POSITIVE
136,Good one …bought as my kids school bag…size a little big for a 12 yr old …nice Color & design,Good one …bought as my kids school bag…size a little big for a 12 yr old …nice Color & design,POSITIVE
137,Nice product,Nice product,POSITIVE
139,"The media could not be loaded.
                



 After 1Year continuous rough use product is in good Condition,.  Bahot Badhiya Product hai...  KHARID LO....🥰","The media could not be loaded.
                



 After 1Year continuous rough use product is in good Condition,.  Bahot Badhiya Product hai.  KHARID LO.🥰",NEGATIVE
140,Good quality bag.  only thing is laptop partition not with strap. Key chain hanger not provided.,Good quality bag.  only thing is laptop partition not with strap. Key chain hanger not provided.,POSITIVE
141,Good product but side bottle pockets are not strong.,Good product but side bottle pockets are not strong.,NEGATIVE
142,Nice,Nice,POSITIVE
143,"Very nice bag for office, school and light travel purpose.","Very nice bag for office, school and light travel purpose.",POSITIVE
144,Product is good for traveling....yes its too light to use,Product is good for traveling. yes its too light to use,POSITIVE
145,"The media could not be loaded.
                



 Awesome one .... It's light weight n it's good product","The media could not be loaded.
                



 Awesome one . It's light weight n it's good product",NEGATIVE
146,"The media could not be loaded.
                



 Bought it for my mother who travels a lotSo she needed a compartment in the frontThis has a small compartment in the front where you can keep your mobile or ladies wallet.I think its water resistantVery light weightVery good back supportYou will get these kinda bags in other brands at much cheaper price but i would always go for american tourister/VIP/Wildcraft because they last longer in my experience.","The media could not be loaded.
                



 Bought it for my mother who travels a lotSo she needed a compartment in the frontThis has a small compartment in the front where you can keep your mobile or ladies wallet. I think its water resistantVery light weightVery good back supportYou will get these kinda bags in other brands at much cheaper price but i would always go for american tourister/VIP/Wildcraft because they last longer in my experience.",NEGATIVE
147,Good,Good,POSITIVE
148,Quality is good,Quality is good,POSITIVE
149,"The bag is pretty good for day to day college use, it is lightweight and water resistant. To sum up in a few words, it is a totally ""WORTH"" buy.🤗","The bag is pretty good for day to day college use, it is lightweight and water resistant. To sum up in a few words, it is a totally ""WORTH"" buy.🤗",POSITIVE
150,Mja aa gya guru,Mja aa gya guru,POSITIVE
151,"Superb back, go for it. Perfect bag for travelling.","Superb back, go for it. Perfect bag for travelling.",POSITIVE
152,Good product,Good product,POSITIVE
153,I have been using for a month for school by far it is it is very good and durable for carrying a lots of books and has many good organizer,I have been using for a month for school by far it is it is very good and durable for carrying a lots of books and has many good organizer,POSITIVE
154,Must to buy it.amezing to use smooth and very light bag .,Must to buy it. amezing to use smooth and very light bag .,NEGATIVE
155,Good product and quality too,Good product and quality too,POSITIVE
156,It's really very good product.,It's really very good product.,POSITIVE
157,IT IS MENTIONED THAT RAIN COVER IS PROVIDED BUT ACTUALLY RAIN COVER IS NOT PROVIDED.I AM GIVING FOUR STARS ONLY FOR THIS REASON.BAG IS SUPERB.,IT IS MENTIONED THAT RAIN COVER IS PROVIDED BUT ACTUALLY RAIN COVER IS NOT PROVIDED. I AM GIVING FOUR STARS ONLY FOR THIS REASON. BAG IS SUPERB.,NEGATIVE
158,The quality of the bag was good and I like it,The quality of the bag was good and I like it,POSITIVE
159,It's a quite good product.The fabric is excellent good product American tourister👍👍👍👍carry on.....,It's a quite good product. The fabric is excellent good product American tourister👍👍👍👍carry on.,POSITIVE
160,Perfect bag for travel. It can take lot of items. Only thing missing was a separate pouch for carrying laptop.,Perfect bag for travel. It can take lot of items. Only thing missing was a separate pouch for carrying laptop.,NEGATIVE
161,"Very nice product,l like it.","Very nice product,l like it.",POSITIVE
162,"The media could not be loaded.
                



 Very nice quality.value for miney","The media could not be loaded.
                



 Very nice quality. value for miney",NEGATIVE
163,Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight  good design but..The quality  was not that good as expected  from American  touristerBottle holder  was also bigBag is suitable for 8th-CollegeThanks amazon,Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight  good design but. The quality  was not that good as expected  from American  touristerBottle holder  was also bigBag is suitable for 8th-CollegeThanks amazon,NEGATIVE
164,nice,nice,POSITIVE
165,It's goneHow is will claim to warrenty,It's goneHow is will claim to warrenty,NEGATIVE
166,Good looking with better quality,Good looking with better quality,POSITIVE
167,I like,I like,POSITIVE
168,Light weight,Light weight,POSITIVE
169,No laptop compartment,No laptop compartment,NEGATIVE
170,In photo bag with bottle but in order there is only a bagPlease submit the correct products,In photo bag with bottle but in order there is only a bagPlease submit the correct products,NEGATIVE
171,Light weight. But have apprehension about the durability and material of the product.,Light weight. But have apprehension about the durability and material of the product.,NEGATIVE
172,Best quality and light weight. Go ahead,Best quality and light weight. Go ahead,POSITIVE
173,"The quality of zippers  are nice, but the top layer is peeling off…  this is really sad bad.","The quality of zippers  are nice, but the top layer is peeling off…  this is really sad bad.",NEGATIVE
174,Not ok,Not ok,NEGATIVE
175,"Like the product, but discounting the price company is avoiding accessories.. it is mentioned in the product that there is rain cover, but didn't recieveReplaced the bag, still got the bag without rain cover.Cheap tricks by company","Like the product, but discounting the price company is avoiding accessories. it is mentioned in the product that there is rain cover, but didn't recieveReplaced the bag, still got the bag without rain cover. Cheap tricks by company",NEGATIVE
176,Good product,Good product,POSITIVE
177,Good,Good,POSITIVE
178,"Perfect bag!!!! big spaces, it can fit so many books and lot more, the chains are perfect  work smoothly and no matter how many books i carry it never hurts my shoulders 🥺 just go for it, it's worth every penny","Perfect bag. big spaces, it can fit so many books and lot more, the chains are perfect  work smoothly and no matter how many books i carry it never hurts my shoulders 🥺 just go for it, it's worth every penny",POSITIVE
179,"The media could not be loaded.
                



 Very good bag thanks 😊","The media could not be loaded.
                



 Very good bag thanks 😊",NEGATIVE
180,"Good looking, light, price is okay.","Good looking, light, price is okay.",POSITIVE
181,Very nice and beautiful bag but need to improve the quality of the bags zip,Very nice and beautiful bag but need to improve the quality of the bags zip,POSITIVE
182,"My son is so happy using thus bag, value for money","My son is so happy using thus bag, value for money",POSITIVE
183,ok average,ok average,POSITIVE
184,"The media could not be loaded.
                



 I had ordered this bag on the name of American Tourister that it is very good and strong bag but the front design is very cheap,poor after a single wash the front design started to be very loose and stared coming out from from it and it is mentioned that it is water resistant,so i am telling you that it doesn't protect books and copies from a single glass of water.I will you all the you want to buy this product, please do not this rubbish bag.","The media could not be loaded.
                



 I had ordered this bag on the name of American Tourister that it is very good and strong bag but the front design is very cheap,poor after a single wash the front design started to be very loose and stared coming out from from it and it is mentioned that it is water resistant,so i am telling you that it doesn't protect books and copies from a single glass of water. I will you all the you want to buy this product, please do not this rubbish bag.",NEGATIVE
185,Zip quality is not good.,Zip quality is not good.,NEGATIVE
186,Quality not good,Quality not good,NEGATIVE
187,"Quality is ok, not so great.","Quality is ok, not so great.",NEGATIVE
188,"I like it,it's for school purpose","I like it,it's for school purpose",POSITIVE
189,"The media could not be loaded.
                



 Nice","The media could not be loaded.
                



 Nice",NEGATIVE
190,Superb,Superb,POSITIVE
191,bdhia,bdhia,POSITIVE
192,Best for 4 class kids,Best for 4 class kids,POSITIVE
193,The media could not be loaded.,The media could not be loaded.,NEGATIVE
194,As per my opinion quality can be more better in this price,As per my opinion quality can be more better in this price,POSITIVE
195,Good product,Good product,POSITIVE
196,It’s ok,It’s ok,POSITIVE
197,Good for daily use,Good for daily use,POSITIVE
198,Overall nice bag. Using it as college bag. No big issue found,Overall nice bag. Using it as college bag. No big issue found,POSITIVE
199,Awesome quality .....,Awesome quality .,POSITIVE
200,Value of money,Value of money,POSITIVE
201,I like this product i usually using for school,I like this product i usually using for school,NEGATIVE
202,Product quality  nice,Product quality  nice,POSITIVE
203,Really best for college studentsSpaceshipBest for travelingAnd At last it's quality is so awesomeAmazon is best 💖,Really best for college studentsSpaceshipBest for travelingAnd At last it's quality is so awesomeAmazon is best 💖,POSITIVE
204,Good product 👍👍👍👍😂👍,Good product 👍👍👍👍😂👍,POSITIVE
205,good,good,POSITIVE
206,Color is light but very good,Color is light but very good,POSITIVE
207,Good bag but it's only for school 🎒,Good bag but it's only for school 🎒,POSITIVE
209,"Nice quality,but no rain cover","Nice quality,but no rain cover",POSITIVE
210,It is a nice bag ..light weight and quality product...,It is a nice bag . light weight and quality product.,POSITIVE
211,Light weight not to carry heavy items but good quality overall,Light weight not to carry heavy items but good quality overall,NEGATIVE
212,"Good looks,ya it's definitely water resistant,you can use it for travelling purpose also,worth every penny","Good looks,ya it's definitely water resistant,you can use it for travelling purpose also,worth every penny",POSITIVE
214,"Water resistant, good quality in this price, worth ordering","Water resistant, good quality in this price, worth ordering",POSITIVE
215,Good,Good,POSITIVE
216,Not worth for money,Not worth for money,NEGATIVE
217,Good Product,Good Product,POSITIVE
218,Very good size bag  for my child.,Very good size bag  for my child.,POSITIVE
219,Overall a good bag.,Overall a good bag.,POSITIVE
220,Good in this price Range,Good in this price Range,POSITIVE
221,Looks good100% polyesterCloth quality 4/5Light weightNO RAIN COVER 👎,Looks good100% polyesterCloth quality 4/5Light weightNO RAIN COVER 👎,POSITIVE
222,"Good looking, stylish, heavy duty","Good looking, stylish, heavy duty",POSITIVE
223,Good for both school and personal  use,Good for both school and personal  use,POSITIVE
224,I took this for my college use but it seemed handy for trekking as well for carrying required product amazing build quality,I took this for my college use but it seemed handy for trekking as well for carrying required product amazing build quality,POSITIVE
225,Good bag,Good bag,POSITIVE
226,It is very good bagpack for school or for travelling it is value for money bugjet bag by the way..,It is very good bagpack for school or for travelling it is value for money bugjet bag by the way.,POSITIVE
227,Nice product,Nice product,POSITIVE
228,Fantastic quality. Absolutely value for the money. I recommend it for a regular traveller.,Fantastic quality. Absolutely value for the money. I recommend it for a regular traveller.,POSITIVE
229,Stichhing is average,Stichhing is average,NEGATIVE
230,"The media could not be loaded.
                



 There was no cover","The media could not be loaded.
                



 There was no cover",NEGATIVE
231,Gifted ro my nephew who was going to for futher studies. He liked it very much,Gifted ro my nephew who was going to for futher studies. He liked it very much,POSITIVE
232,Quality is the very low,Quality is the very low,NEGATIVE
233,Bought it for school going son studying in 7th standard. Spacious and light,Bought it for school going son studying in 7th standard. Spacious and light,POSITIVE
234,The bag is little bit small as shown in figure when it delivered I was dissatisfied otherwise it had good quality the material was too good this bags lift weights upto 15 kg good product must order this product was awesome 😎👍🏻(✿^‿^)ʘ‿ʘ(. ❛ ᴗ ❛.)(◔‿◔)( ◜‿◝ )♡,The bag is little bit small as shown in figure when it delivered I was dissatisfied otherwise it had good quality the material was too good this bags lift weights upto 15 kg good product must order this product was awesome 😎👍🏻(✿^‿^)ʘ‿ʘ(. ❛ ᴗ ❛.)(◔‿◔)( ◜‿◝ )♡,POSITIVE
235,Worth to buy,Worth to buy,POSITIVE
236,Ok ok product..price is bit let down.,Ok ok product. price is bit let down.,POSITIVE
237,Very nice back pack its sturdy & useful with multiple compartment for different use. Zip quality is best. Recommended to by,Very nice back pack its sturdy & useful with multiple compartment for different use. Zip quality is best. Recommended to by,POSITIVE
238,Not as tough as expected.,Not as tough as expected.,POSITIVE
239,Like,Like,POSITIVE
240,The bag is very stylish and light weighted and has good quality zips also,The bag is very stylish and light weighted and has good quality zips also,POSITIVE
241,"The imprint of American tourister peeled off within 2 days. So if you are buying it for the look of it, it's not going to last you. My bag got wet in the rain, and the imprint came off .The bag is good quality though apart from the bad quality of printing the name.","The imprint of American tourister peeled off within 2 days. So if you are buying it for the look of it, it's not going to last you. My bag got wet in the rain, and the imprint came off . The bag is good quality though apart from the bad quality of printing the name.",POSITIVE
242,average,average,POSITIVE
243,Excellent school bag for kids 2nd class to---till 10 th class,Excellent school bag for kids 2nd class to---till 10 th class,POSITIVE
244,Super,Super,POSITIVE
245,Like,Like,POSITIVE
246,Light weight and easy to handle,Light weight and easy to handle,POSITIVE
247,"The media could not be loaded.
                



 Light weight,best for travelling","The media could not be loaded.
                



 Light weight,best for travelling",NEGATIVE
248,Not separate space for laptop,Not separate space for laptop,NEGATIVE
249,It's just ok ok bag. Good for carrying to college and travelling small distance. Spacious.,It's just ok ok bag. Good for carrying to college and travelling small distance. Spacious.,POSITIVE
251,"There is no rain cover , but original with price tag","There is no rain cover , but original with price tag",POSITIVE
